Player,Club,Position,Fee,Season,Transfer
Mark Lynch,Manchester United,Right-Back,0.075,2004/2005,Departure
Nemanja Vidic‎,Manchester United,Centre-Back,10.5,2005/2006,Arrival
Patrice Evra,Manchester United,Left-Back,8.0,2005/2006,Arrival
Ji-sung Park,Manchester United,Attacking Midfield,7.3,2005/2006,Arrival
Edwin van der Sar,Manchester United,Goalkeeper,4.0,2005/2006,Arrival
Ben Foster,Manchester United,Goalkeeper,2.0,2005/2006,Arrival
Phil Neville,Manchester United,Right-Back,5.3,2005/2006,Departure
Kléberson,Manchester United,Central Midfield,2.6,2005/2006,Departure
Michael Carrick,Manchester United,Defensive Midfield,27.2,2006/2007,Arrival
Ruud van Nistelrooy,Manchester United,Centre-Forward,15.0,2006/2007,Departure
David Jones,Manchester United,Central Midfield,1.5,2006/2007,Departure
Jonathan Spector,Manchester United,Centre-Back,0.75,2006/2007,Departure
David Bellion,Manchester United,Centre-Forward,0.5,2006/2007,Departure
Luke Steele,Manchester United,Goalkeeper,0.25,2006/2007,Departure
Anderson,Manchester United,Central Midfield,31.5,2007/2008,Arrival
Nani,Manchester United,Left Winger,25.5,2007/2008,Arrival
Owen Hargreaves,Manchester United,Defensive Midfield,25.0,2007/2008,Arrival
Carlos Tevez,Manchester United,Second Striker,12.7,2007/2008,Arrival
Tomasz Kuszczak,Manchester United,Goalkeeper,4.3,2007/2008,Arrival
Rodrigo Possebon,Manchester United,Central Midfield,3.5,2007/2008,Arrival
Rafael,Manchester United,Right-Back,3.0,2007/2008,Arrival
Manucho,Manchester United,Centre-Forward,1.0,2007/2008,Arrival
Gabriel Heinze,Manchester United,Centre-Back,12.0,2007/2008,Departure
Giuseppe Rossi,Manchester United,Centre-Forward,10.0,2007/2008,Departure
Alan Smith,Manchester United,Central Midfield,9.0,2007/2008,Departure
Kieran Richardson,Manchester United,Left-Back,8.2,2007/2008,Departure
Tim Howard,Manchester United,Goalkeeper,4.2,2007/2008,Departure
Phil Bardsley,Manchester United,Right-Back,3.0,2007/2008,Departure
Manucho,Manchester United,Centre-Forward,0.2,2007/2008,Departure
Dimitar Berbatov,Manchester United,Centre-Forward,38.0,2008/2009,Arrival
Zoran Tosic,Manchester United,Right Winger,7.0,2008/2009,Arrival
Ritchie De Laet,Manchester United,Right-Back,0.25,2008/2009,Arrival
Gerard Piqué,Manchester United,Centre-Back,5.0,2008/2009,Departure
Chris Eagles,Manchester United,Right Winger,1.5,2008/2009,Departure
Mikaël Silvestre,Manchester United,Left-Back,0.95,2008/2009,Departure
Antonio Valencia,Manchester United,Right-Back,18.8,2009/2010,Arrival
Mame Diouf,Manchester United,Centre-Forward,4.5,2009/2010,Arrival
Gabriel Obertan,Manchester United,Right Winger,4.0,2009/2010,Arrival
Cristiano Ronaldo,Manchester United,Centre-Forward,94.0,2009/2010,Departure
Fraizer Campbell,Manchester United,Centre-Forward,4.1,2009/2010,Departure
Manucho,Manchester United,Centre-Forward,2.75,2009/2010,Departure
Lee Martin,Manchester United,Attacking Midfield,2.25,2009/2010,Departure
Danny Simpson,Manchester United,Right-Back,0.865,2009/2010,Departure
Zoran Tosic,Manchester United,Right Winger,0.5,2009/2010,Departure
Bebé,Manchester United,Left Winger,8.8,2010/2011,Arrival
Chris Smalling,Manchester United,Centre-Back,8.0,2010/2011,Arrival
Chicharito,Manchester United,Centre-Forward,7.5,2010/2011,Arrival
Anders Lindegaard,Manchester United,Goalkeeper,5.0,2010/2011,Arrival
Zoran Tosic,Manchester United,Right Winger,9.5,2010/2011,Departure
Ben Foster,Manchester United,Goalkeeper,7.0,2010/2011,Departure
Federico Macheda,Manchester United,Centre-Forward,0.465,2010/2011,Departure
David de Gea,Manchester United,Goalkeeper,25.0,2011/2012,Arrival
Phil Jones,Manchester United,Centre-Back,19.3,2011/2012,Arrival
Ashley Young,Manchester United,Left-Back,18.0,2011/2012,Arrival
John O'Shea,Manchester United,Centre-Back,4.5,2011/2012,Departure
Gabriel Obertan,Manchester United,Right Winger,3.4,2011/2012,Departure
Mame Diouf,Manchester United,Centre-Forward,1.8,2011/2012,Departure
Wes Brown,Manchester United,Centre-Back,1.5,2011/2012,Departure
Bebé,Manchester United,Left Winger,1.0,2011/2012,Departure
Darron Gibson,Manchester United,Central Midfield,0.6,2011/2012,Departure
Joe Dudgeon,Manchester United,Left-Back,0.095,2011/2012,Departure
Robin van Persie,Manchester United,Centre-Forward,30.7,2012/2013,Arrival
Shinji Kagawa,Manchester United,Attacking Midfield,16.0,2012/2013,Arrival
Wilfried Zaha,Manchester United,Left Winger,11.75,2012/2013,Arrival
Nick Powell,Manchester United,Attacking Midfield,7.5,2012/2013,Arrival
Ángelo Henríquez,Manchester United,Centre-Forward,5.5,2012/2013,Arrival
Alexander Büttner,Manchester United,Left-Back,5.0,2012/2013,Arrival
Dimitar Berbatov,Manchester United,Centre-Forward,5.0,2012/2013,Departure
Ji-sung Park,Manchester United,Attacking Midfield,3.1,2012/2013,Departure
Ritchie De Laet,Manchester United,Right-Back,1.25,2012/2013,Departure
Federico Macheda,Manchester United,Centre-Forward,0.3,2012/2013,Departure
Juan Mata,Manchester United,Attacking Midfield,44.73,2013/2014,Arrival
Marouane Fellaini,Manchester United,Central Midfield,32.4,2013/2014,Arrival
Wilfried Zaha,Manchester United,Left Winger,1.8,2013/2014,Departure
Ángel Di María,Manchester United,Right Winger,75.0,2014/2015,Arrival
Luke Shaw,Manchester United,Left-Back,37.5,2014/2015,Arrival
Ander Herrera,Manchester United,Central Midfield,36.0,2014/2015,Arrival
Marcos Rojo,Manchester United,Centre-Back,20.0,2014/2015,Arrival
Daley Blind,Manchester United,Centre-Back,17.5,2014/2015,Arrival
Radamel Falcao,Manchester United,Centre-Forward,7.6,2014/2015,Arrival
Vanja Milinković-Savić,Manchester United,Goalkeeper,1.75,2014/2015,Arrival
Danny Welbeck,Manchester United,Centre-Forward,20.0,2014/2015,Departure
Shinji Kagawa,Manchester United,Attacking Midfield,8.0,2014/2015,Departure
Alexander Büttner,Manchester United,Left-Back,5.5,2014/2015,Departure
Wilfried Zaha,Manchester United,Left Winger,3.8,2014/2015,Departure
Chicharito,Manchester United,Centre-Forward,3.0,2014/2015,Departure
Bebé,Manchester United,Left Winger,3.0,2014/2015,Departure
Patrice Evra,Manchester United,Left-Back,1.9,2014/2015,Departure
Ángelo Henríquez,Manchester United,Centre-Forward,1.5,2014/2015,Departure
Anthony Martial,Manchester United,Centre-Forward,60.0,2015/2016,Arrival
Morgan Schneiderlin,Manchester United,Defensive Midfield,35.0,2015/2016,Arrival
Memphis Depay,Manchester United,Centre-Forward,34.0,2015/2016,Arrival
Matteo Darmian,Manchester United,Right-Back,18.0,2015/2016,Arrival
Bastian Schweinsteiger,Manchester United,Central Midfield,9.0,2015/2016,Arrival
Ángel Di María,Manchester United,Right Winger,63.0,2015/2016,Departure
Chicharito,Manchester United,Centre-Forward,12.0,2015/2016,Departure
Jonny Evans,Manchester United,Centre-Back,8.3,2015/2016,Departure
Robin van Persie,Manchester United,Centre-Forward,6.5,2015/2016,Departure
Nani,Manchester United,Left Winger,6.0,2015/2016,Departure
Rafael,Manchester United,Right-Back,3.2,2015/2016,Departure
Ángelo Henríquez,Manchester United,Centre-Forward,1.67,2015/2016,Departure
Paul Pogba,Manchester United,Central Midfield,105.0,2016/2017,Arrival
Henrikh Mkhitaryan,Manchester United,Central Midfield,42.0,2016/2017,Arrival
Eric Bailly,Manchester United,Centre-Back,38.0,2016/2017,Arrival
Morgan Schneiderlin,Manchester United,Defensive Midfield,23.0,2016/2017,Departure
Memphis Depay,Manchester United,Centre-Forward,16.0,2016/2017,Departure
Paddy McNair,Manchester United,Centre-Back,5.25,2016/2017,Departure
Tyler Blackett,Manchester United,Left-Back,1.8,2016/2017,Departure
Will Keane,Manchester United,Centre-Forward,1.2,2016/2017,Departure
Romelu Lukaku,Manchester United,Centre-Forward,84.7,2017/2018,Arrival
