Player,Club,Position,Fee,Season,Transfer
Mido,Tottenham Hotspur,Centre-Forward,6.75,2006/2007,Arrival
Ricardo Rocha,Tottenham Hotspur,Centre-Back,5.0,2006/2007,Arrival
Benoît Assou-Ekotto,Tottenham Hotspur,Left-Back,5.0,2006/2007,Arrival
Steed Malbranque,Tottenham Hotspur,Central Midfield,3.0,2006/2007,Arrival
Ben Alnwick,Tottenham Hotspur,Goalkeeper,1.5,2006/2007,Arrival
Dorian Dervite,Tottenham Hotspur,Centre-Back,1.5,2006/2007,Arrival
Radek Cerny,Tottenham Hotspur,Goalkeeper,0.2,2006/2007,Arrival
Michael Carrick,Tottenham Hotspur,Defensive Midfield,27.2,2006/2007,Departure
Andy Reid,Tottenham Hotspur,Left Midfield,4.2,2006/2007,Departure
Calum Davenport,Tottenham Hotspur,Defender,4.2,2006/2007,Departure
Stephen Kelly,Tottenham Hotspur,Right-Back,1.6,2006/2007,Departure
Márton Fülöp,Tottenham Hotspur,Goalkeeper,0.75,2006/2007,Departure
Rodrigo Defendi,Tottenham Hotspur,Centre-Back,0.375,2006/2007,Departure
Dean Marney,Tottenham Hotspur,Central Midfield,0.325,2006/2007,Departure
Darren Bent,Tottenham Hotspur,Centre-Forward,24.75,2007/2008,Arrival
Gareth Bale,Tottenham Hotspur,Right Winger,14.7,2007/2008,Arrival
Alan Hutton,Tottenham Hotspur,Right-Back,13.0,2007/2008,Arrival
Younès Kaboul,Tottenham Hotspur,Centre-Back,12.0,2007/2008,Arrival
Jonathan Woodgate,Tottenham Hotspur,Centre-Back,10.8,2007/2008,Arrival
Kevin-Prince Boateng,Tottenham Hotspur,Attacking Midfield,7.9,2007/2008,Arrival
Adel Taarabt,Tottenham Hotspur,Central Midfield,4.0,2007/2008,Arrival
Chris Gunter,Tottenham Hotspur,Right-Back,3.2,2007/2008,Arrival
Gilberto,Tottenham Hotspur,Left-Back,2.8,2007/2008,Arrival
Danny Rose,Tottenham Hotspur,Left-Back,1.0,2007/2008,Arrival
Jermain Defoe,Tottenham Hotspur,Centre-Forward,9.3,2007/2008,Departure
Mido,Tottenham Hotspur,Centre-Forward,8.8,2007/2008,Departure
Reto Ziegler,Tottenham Hotspur,Centre-Back,2.0,2007/2008,Departure
Wayne Routledge,Tottenham Hotspur,Left Winger,1.7,2007/2008,Departure
Philip Ifil,Tottenham Hotspur,Right-Back,0.475,2007/2008,Departure
Mark Yeates,Tottenham Hotspur,Left Winger,0.275,2007/2008,Departure
Luka Modric,Tottenham Hotspur,Central Midfield,22.5,2008/2009,Arrival
David Bentley,Tottenham Hotspur,Right Midfield,22.0,2008/2009,Arrival
Roman Pavlyuchenko,Tottenham Hotspur,Centre-Forward,17.4,2008/2009,Arrival
Robbie Keane,Tottenham Hotspur,Centre-Forward,16.7,2008/2009,Arrival
Jermain Defoe,Tottenham Hotspur,Centre-Forward,16.4,2008/2009,Arrival
Wilson Palacios,Tottenham Hotspur,Defensive Midfield,15.0,2008/2009,Arrival
Vedran Corluka,Tottenham Hotspur,Centre-Back,13.75,2008/2009,Arrival
Heurelho Gomes,Tottenham Hotspur,Goalkeeper,9.0,2008/2009,Arrival
Giovani dos Santos,Tottenham Hotspur,Second Striker,6.0,2008/2009,Arrival
Pascal Chimbonda,Tottenham Hotspur,Right-Back,3.2,2008/2009,Arrival
John Bostock,Tottenham Hotspur,Central Midfield,2.0,2008/2009,Arrival
Dimitar Berbatov,Tottenham Hotspur,Centre-Forward,38.0,2008/2009,Departure
Robbie Keane,Tottenham Hotspur,Centre-Forward,24.0,2008/2009,Departure
Younès Kaboul,Tottenham Hotspur,Centre-Back,6.25,2008/2009,Departure
Steed Malbranque,Tottenham Hotspur,Central Midfield,5.0,2008/2009,Departure
Paul Robinson,Tottenham Hotspur,Goalkeeper,4.4,2008/2009,Departure
Pascal Chimbonda,Tottenham Hotspur,Right-Back,3.2,2008/2009,Departure
Anthony Gardner,Tottenham Hotspur,Centre-Back,3.2,2008/2009,Departure
Teemu Tainio,Tottenham Hotspur,Defensive Midfield,3.0,2008/2009,Departure
Young-pyo Lee,Tottenham Hotspur,Left-Back,0.5,2008/2009,Departure
Tommy Forecast,Tottenham Hotspur,Goalkeeper,0.4,2008/2009,Departure
Kevin-Prince Boateng,Tottenham Hotspur,Attacking Midfield,0.1,2008/2009,Departure
Peter Crouch,Tottenham Hotspur,Centre-Forward,10.5,2009/2010,Arrival
Sébastien Bassong,Tottenham Hotspur,Centre-Back,9.3,2009/2010,Arrival
Younès Kaboul,Tottenham Hotspur,Centre-Back,5.9,2009/2010,Arrival
Kyle Naughton,Tottenham Hotspur,Right-Back,5.9,2009/2010,Arrival
Kyle Walker,Tottenham Hotspur,Right-Back,5.9,2009/2010,Arrival
Niko Kranjcar,Tottenham Hotspur,Attacking Midfield,2.8,2009/2010,Arrival
Darren Bent,Tottenham Hotspur,Centre-Forward,11.8,2009/2010,Departure
Didier Zokora,Tottenham Hotspur,Defensive Midfield,9.0,2009/2010,Departure
Kevin-Prince Boateng,Tottenham Hotspur,Attacking Midfield,4.5,2009/2010,Departure
Chris Gunter,Tottenham Hotspur,Right-Back,2.0,2009/2010,Departure
Pascal Chimbonda,Tottenham Hotspur,Right-Back,1.7,2009/2010,Departure
Robbie Keane,Tottenham Hotspur,Centre-Forward,1.2,2009/2010,Departure
Tomas Pekhart,Tottenham Hotspur,Centre-Forward,0.8,2009/2010,Departure
Giovani dos Santos,Tottenham Hotspur,Second Striker,0.7,2009/2010,Departure
Rafael van der Vaart,Tottenham Hotspur,Attacking Midfield,10.5,2010/2011,Arrival
Sandro,Tottenham Hotspur,Defensive Midfield,10.0,2010/2011,Arrival
Steven Pienaar,Tottenham Hotspur,Left Midfield,3.6,2010/2011,Arrival
Bongani Khumalo,Tottenham Hotspur,Centre-Back,1.8,2010/2011,Arrival
Stipe Pletikosa,Tottenham Hotspur,Goalkeeper,0.7,2010/2011,Arrival
Robbie Keane,Tottenham Hotspur,Centre-Forward,1.2,2010/2011,Departure
Adel Taarabt,Tottenham Hotspur,Central Midfield,1.2,2010/2011,Departure
Giovani dos Santos,Tottenham Hotspur,Second Striker,0.3,2010/2011,Departure
Kyle Walker,Tottenham Hotspur,Right-Back,0.235,2010/2011,Departure
Scott Parker,Tottenham Hotspur,Central Midfield,5.75,2011/2012,Arrival
Emmanuel Adebayor,Tottenham Hotspur,Centre-Forward,2.25,2011/2012,Arrival
Iago Falque,Tottenham Hotspur,Right Winger,1.0,2011/2012,Arrival
Peter Crouch,Tottenham Hotspur,Centre-Forward,11.3,2011/2012,Departure
Wilson Palacios,Tottenham Hotspur,Defensive Midfield,9.0,2011/2012,Departure
Roman Pavlyuchenko,Tottenham Hotspur,Centre-Forward,9.0,2011/2012,Departure
Alan Hutton,Tottenham Hotspur,Right-Back,4.5,2011/2012,Departure
Robbie Keane,Tottenham Hotspur,Centre-Forward,3.75,2011/2012,Departure
Jamie O'Hara,Tottenham Hotspur,Central Midfield,3.75,2011/2012,Departure
Jermaine Jenas,Tottenham Hotspur,Central Midfield,1.0,2011/2012,Departure
Vedran Corluka,Tottenham Hotspur,Centre-Back,0.55,2011/2012,Departure
Paul-José Mpoku,Tottenham Hotspur,Attacking Midfield,0.4,2011/2012,Departure
Mousa Dembélé,Tottenham Hotspur,Central Midfield,19.0,2012/2013,Arrival
Hugo Lloris,Tottenham Hotspur,Goalkeeper,12.6,2012/2013,Arrival
Jan Vertonghen,Tottenham Hotspur,Centre-Back,12.5,2012/2013,Arrival
Gylfi Sigurdsson,Tottenham Hotspur,Attacking Midfield,10.0,2012/2013,Arrival
Clint Dempsey,Tottenham Hotspur,Second Striker,7.5,2012/2013,Arrival
Emmanuel Adebayor,Tottenham Hotspur,Centre-Forward,6.4,2012/2013,Arrival
Zeki Fryers,Tottenham Hotspur,Left-Back,3.5,2012/2013,Arrival
Lewis Holtby,Tottenham Hotspur,Central Midfield,1.75,2012/2013,Arrival
Luka Modric,Tottenham Hotspur,Central Midfield,35.0,2012/2013,Departure
Rafael van der Vaart,Tottenham Hotspur,Attacking Midfield,13.0,2012/2013,Departure
Niko Kranjcar,Tottenham Hotspur,Attacking Midfield,7.0,2012/2013,Departure
Vedran Corluka,Tottenham Hotspur,Centre-Back,7.0,2012/2013,Departure
Steven Pienaar,Tottenham Hotspur,Left Midfield,5.75,2012/2013,Departure
Sébastien Bassong,Tottenham Hotspur,Centre-Back,3.0,2012/2013,Departure
Giovani dos Santos,Tottenham Hotspur,Second Striker,1.0,2012/2013,Departure
David Button,Tottenham Hotspur,Goalkeeper,0.63,2012/2013,Departure
Heurelho Gomes,Tottenham Hotspur,Goalkeeper,0.4,2012/2013,Departure
Roberto Soldado,Tottenham Hotspur,Centre-Forward,30.0,2013/2014,Arrival
Erik Lamela,Tottenham Hotspur,Right Winger,30.0,2013/2014,Arrival
Paulinho,Tottenham Hotspur,Central Midfield,19.75,2013/2014,Arrival
Christian Eriksen,Tottenham Hotspur,Central Midfield,14.15,2013/2014,Arrival
Étienne Capoue,Tottenham Hotspur,Defensive Midfield,11.0,2013/2014,Arrival
Vlad Chiricheș,Tottenham Hotspur,Centre-Back,9.5,2013/2014,Arrival
Nacer Chadli,Tottenham Hotspur,Left Winger,8.15,2013/2014,Arrival
Gareth Bale,Tottenham Hotspur,Right Winger,101.0,2013/2014,Departure
Steven Caulker,Tottenham Hotspur,Centre-Back,9.15,2013/2014,Departure
Jermain Defoe,Tottenham Hotspur,Centre-Forward,9.09,2013/2014,Departure
Clint Dempsey,Tottenham Hotspur,Second Striker,8.18,2013/2014,Departure
Tom Huddlestone,Tottenham Hotspur,Defensive Midfield,5.8,2013/2014,Departure
Scott Parker,Tottenham Hotspur,Central Midfield,4.3,2013/2014,Departure
Simon Dawkins,Tottenham Hotspur,Left Winger,0.575,2013/2014,Departure
Jake Livermore,Tottenham Hotspur,Defensive Midfield,0.3,2013/2014,Departure
Ben Davies,Tottenham Hotspur,Left-Back,12.65,2014/2015,Arrival
Federico Fazio,Tottenham Hotspur,Centre-Back,10.0,2014/2015,Arrival
Dele Alli,Tottenham Hotspur,Attacking Midfield,6.63,2014/2015,Arrival
Benjamin Stambouli,Tottenham Hotspur,Defensive Midfield,5.9,2014/2015,Arrival
Michel Vorm,Tottenham Hotspur,Goalkeeper,5.7,2014/2015,Arrival
Eric Dier,Tottenham Hotspur,Centre-Back,5.0,2014/2015,Arrival
DeAndre Yedlin,Tottenham Hotspur,Right-Back,2.6,2014/2015,Arrival
Gylfi Sigurdsson,Tottenham Hotspur,Attacking Midfield,10.1,2014/2015,Departure
Sandro,Tottenham Hotspur,Defensive Midfield,7.5,2014/2015,Departure
Jake Livermore,Tottenham Hotspur,Defensive Midfield,7.0,2014/2015,Departure
Kyle Naughton,Tottenham Hotspur,Right-Back,6.6,2014/2015,Departure
Michael Dawson,Tottenham Hotspur,Centre-Back,4.4,2014/2015,Departure
Zeki Fryers,Tottenham Hotspur,Left-Back,3.8,2014/2015,Departure
Lewis Holtby,Tottenham Hotspur,Central Midfield,2.5,2014/2015,Departure
Iago Falque,Tottenham Hotspur,Right Winger,2.0,2014/2015,Departure
Jonathan Obika,Tottenham Hotspur,Centre-Forward,0.25,2014/2015,Departure
Heung-min Son,Tottenham Hotspur,Left Winger,30.0,2015/2016,Arrival
Toby Alderweireld,Tottenham Hotspur,Centre-Back,16.0,2015/2016,Arrival
Clinton N'Jie,Tottenham Hotspur,Right Winger,14.1,2015/2016,Arrival
Kevin Wimmer,Tottenham Hotspur,Centre-Back,6.0,2015/2016,Arrival
Kieran Trippier,Tottenham Hotspur,Right-Back,4.9,2015/2016,Arrival
Roberto Soldado,Tottenham Hotspur,Centre-Forward,16.0,2015/2016,Departure
Andros Townsend,Tottenham Hotspur,Right Winger,15.7,2015/2016,Departure
Paulinho,Tottenham Hotspur,Central Midfield,14.0,2015/2016,Departure
Étienne Capoue,Tottenham Hotspur,Defensive Midfield,8.9,2015/2016,Departure
Benjamin Stambouli,Tottenham Hotspur,Defensive Midfield,8.6,2015/2016,Departure
Vlad Chiricheș,Tottenham Hotspur,Centre-Back,7.0,2015/2016,Departure
Lewis Holtby,Tottenham Hotspur,Central Midfield,6.5,2015/2016,Departure
Aaron Lennon,Tottenham Hotspur,Right Winger,6.0,2015/2016,Departure
Younès Kaboul,Tottenham Hotspur,Centre-Back,4.3,2015/2016,Departure
Ryan Fredericks,Tottenham Hotspur,Right-Back,0.25,2015/2016,Departure
Moussa Sissoko,Tottenham Hotspur,Central Midfield,35.0,2016/2017,Arrival
Vincent Janssen,Tottenham Hotspur,Centre-Forward,22.0,2016/2017,Arrival
Victor Wanyama,Tottenham Hotspur,Defensive Midfield,14.4,2016/2017,Arrival
Georges-Kevin N'Koudou,Tottenham Hotspur,Left Winger,11.0,2016/2017,Arrival
Pau López,Tottenham Hotspur,Goalkeeper,1.1,2016/2017,Arrival
Ryan Mason,Tottenham Hotspur,Central Midfield,15.4,2016/2017,Departure
Nacer Chadli,Tottenham Hotspur,Left Winger,15.2,2016/2017,Departure
Alex Pritchard,Tottenham Hotspur,Attacking Midfield,9.4,2016/2017,Departure
DeAndre Yedlin,Tottenham Hotspur,Right-Back,5.9,2016/2017,Departure
Tom Carroll,Tottenham Hotspur,Central Midfield,5.2,2016/2017,Departure
Federico Fazio,Tottenham Hotspur,Centre-Back,1.2,2016/2017,Departure
Davinson Sánchez,Tottenham Hotspur,Centre-Back,42.0,2017/2018,Arrival
Lucas Moura,Tottenham Hotspur,Right Winger,28.4,2017/2018,Arrival
Serge Aurier,Tottenham Hotspur,Right-Back,25.0,2017/2018,Arrival
Fernando Llorente,Tottenham Hotspur,Centre-Forward,15.1,2017/2018,Arrival
Juan Foyth,Tottenham Hotspur,Right-Back,10.5,2017/2018,Arrival
Kyle Walker,Tottenham Hotspur,Right-Back,52.7,2017/2018,Departure
Kevin Wimmer,Tottenham Hotspur,Centre-Back,19.4,2017/2018,Departure
Nabil Bentaleb,Tottenham Hotspur,Defensive Midfield,19.0,2017/2018,Departure
Clinton N'Jie,Tottenham Hotspur,Right Winger,7.0,2017/2018,Departure
Federico Fazio,Tottenham Hotspur,Centre-Back,3.2,2017/2018,Departure
Vincent Janssen,Tottenham Hotspur,Centre-Forward,2.5,2017/2018,Departure
Mousa Dembélé,Tottenham Hotspur,Central Midfield,5.35,2018/2019,Departure
Trevor Sinclair,Manchester City,Left Winger,3.75,2003/2004,Arrival
Claudio Reyna,Manchester City,Central Midfield,3.75,2003/2004,Arrival
David James,Manchester City,Goalkeeper,2.8,2003/2004,Arrival
Paul Bosvelt,Manchester City,Defensive Midfield,1.5,2003/2004,Arrival
Antoine Sibierski,Manchester City,Attacking Midfield,1.1,2003/2004,Arrival
Daniel Van Buyten,Manchester City,Centre-Back,1.0,2003/2004,Arrival
Mark Redshaw,Manchester City,Second Striker,0.36,2003/2004,Arrival
Matías Vuoso,Manchester City,Centre-Forward,1.5,2003/2004,Departure
Niclas Jensen,Manchester City,Left-Back,1.25,2003/2004,Departure
Darren Huckerby,Manchester City,Right Winger,1.25,2003/2004,Departure
Eyal Berkovic,Manchester City,Attacking Midfield,0.75,2003/2004,Departure
Lucién Mettomo,Manchester City,Centre-Back,0.723,2003/2004,Departure
Shaun Goater,Manchester City,Centre-Forward,0.7,2003/2004,Departure
Kevin Horlock,Manchester City,Defensive Midfield,0.45,2003/2004,Departure
Ben Thatcher,Manchester City,Left-Back,1.5,2004/2005,Arrival
Nicolas Anelka,Manchester City,Centre-Forward,7.19,2004/2005,Departure
Paulo Wanchope,Manchester City,Centre-Forward,0.75,2004/2005,Departure
Georgios Samaras,Manchester City,Left Winger,8.5,2005/2006,Arrival
Darius Vassell,Manchester City,Centre-Forward,3.6,2005/2006,Arrival
Matt Mills,Manchester City,Centre-Back,0.375,2005/2006,Arrival
Shaun Wright-Phillips,Manchester City,Right Winger,31.5,2005/2006,Departure
Jon Macken,Manchester City,Centre-Forward,1.0,2005/2006,Departure
Andreas Isaksson,Manchester City,Goalkeeper,3.0,2006/2007,Arrival
Bernardo Corradi,Manchester City,Centre-Forward,2.0,2006/2007,Arrival
Joe Hart,Manchester City,Goalkeeper,0.9,2006/2007,Arrival
Dietmar Hamann,Manchester City,Defensive Midfield,0.6,2006/2007,Arrival
David James,Manchester City,Goalkeeper,1.7,2006/2007,Departure
Lee Croft,Manchester City,Right Midfield,0.9,2006/2007,Departure
Andy Cole,Manchester City,Centre-Forward,0.75,2006/2007,Departure
Ben Thatcher,Manchester City,Left-Back,0.75,2006/2007,Departure
Bradley Wright-Phillips,Manchester City,Centre-Forward,0.1,2006/2007,Departure
Rolando Bianchi,Manchester City,Centre-Forward,13.0,2007/2008,Arrival
Vedran Corluka,Manchester City,Centre-Back,13.0,2007/2008,Arrival
Elano,Manchester City,Attacking Midfield,12.0,2007/2008,Arrival
Valeri Bozhinov,Manchester City,Centre-Forward,8.0,2007/2008,Arrival
Martin Petrov,Manchester City,Left Winger,7.0,2007/2008,Arrival
Felipe Caicedo,Manchester City,Centre-Forward,7.0,2007/2008,Arrival
Gelson Fernandes,Manchester City,Defensive Midfield,5.5,2007/2008,Arrival
Benjani,Manchester City,Centre-Forward,5.2,2007/2008,Arrival
Nery Castillo,Manchester City,Right Winger,5.0,2007/2008,Arrival
Javier Garrido,Manchester City,Left-Back,2.25,2007/2008,Arrival
Joey Barton,Manchester City,Central Midfield,8.6,2007/2008,Departure
Ishmael Miller,Manchester City,Centre-Forward,1.5,2007/2008,Departure
Ousmane Dabo,Manchester City,Defensive Midfield,0.263,2007/2008,Departure
Bernardo Corradi,Manchester City,Centre-Forward,0.2,2007/2008,Departure
Robinho,Manchester City,Left Winger,43.0,2008/2009,Arrival
Jô,Manchester City,Centre-Forward,24.0,2008/2009,Arrival
Nigel de Jong,Manchester City,Defensive Midfield,18.0,2008/2009,Arrival
Craig Bellamy,Manchester City,Left Winger,15.5,2008/2009,Arrival
Wayne Bridge,Manchester City,Left-Back,13.0,2008/2009,Arrival
Shaun Wright-Phillips,Manchester City,Right Winger,11.25,2008/2009,Arrival
Shay Given,Manchester City,Goalkeeper,9.0,2008/2009,Arrival
Pablo Zabaleta,Manchester City,Right-Back,8.7,2008/2009,Arrival
Vincent Kompany,Manchester City,Centre-Back,8.5,2008/2009,Arrival
Tal Ben Haim,Manchester City,Centre-Back,6.4,2008/2009,Arrival
Vedran Corluka,Manchester City,Centre-Back,13.75,2008/2009,Departure
Rolando Bianchi,Manchester City,Centre-Forward,7.0,2008/2009,Departure
Andreas Isaksson,Manchester City,Goalkeeper,2.8,2008/2009,Departure
Georgios Samaras,Manchester City,Left Winger,2.5,2008/2009,Departure
Matt Mills,Manchester City,Centre-Back,0.45,2008/2009,Departure
Carlos Tevez,Manchester City,Second Striker,29.0,2009/2010,Arrival
Emmanuel Adebayor,Manchester City,Centre-Forward,29.0,2009/2010,Arrival
Joleon Lescott,Manchester City,Centre-Back,27.5,2009/2010,Arrival
Roque Santa Cruz,Manchester City,Centre-Forward,21.2,2009/2010,Arrival
Kolo Touré,Manchester City,Centre-Back,18.7,2009/2010,Arrival
Gareth Barry,Manchester City,Defensive Midfield,13.9,2009/2010,Arrival
Adam Johnson,Manchester City,Right Winger,8.0,2009/2010,Arrival
Daniel Sturridge,Manchester City,Centre-Forward,7.25,2009/2010,Departure
Elano,Manchester City,Attacking Midfield,7.0,2009/2010,Departure
Richard Dunne,Manchester City,Centre-Back,6.8,2009/2010,Departure
Gelson Fernandes,Manchester City,Defensive Midfield,3.5,2009/2010,Departure
Ched Evans,Manchester City,Centre-Forward,3.5,2009/2010,Departure
Joe Hart,Manchester City,Goalkeeper,1.15,2009/2010,Departure
Edin Dzeko,Manchester City,Centre-Forward,37.0,2010/2011,Arrival
Yaya Touré,Manchester City,Central Midfield,30.0,2010/2011,Arrival
Mario Balotelli,Manchester City,Centre-Forward,29.5,2010/2011,Arrival
David Silva,Manchester City,Attacking Midfield,28.75,2010/2011,Arrival
Aleksandar Kolarov,Manchester City,Left-Back,23.86,2010/2011,Arrival
James Milner,Manchester City,Central Midfield,22.0,2010/2011,Arrival
Jérôme Boateng,Manchester City,Centre-Back,12.5,2010/2011,Arrival
Robinho,Manchester City,Left Winger,21.0,2010/2011,Departure
Stephen Ireland,Manchester City,Attacking Midfield,9.7,2010/2011,Departure
Emmanuel Adebayor,Manchester City,Centre-Forward,4.0,2010/2011,Departure
Javier Garrido,Manchester City,Left-Back,2.5,2010/2011,Departure
Valeri Bozhinov,Manchester City,Centre-Forward,2.0,2010/2011,Departure
Vladimír Weiss,Manchester City,Left Winger,0.6,2010/2011,Departure
Wayne Bridge,Manchester City,Left-Back,0.35,2010/2011,Departure
Sergio Agüero,Manchester City,Centre-Forward,40.0,2011/2012,Arrival
Samir Nasri,Manchester City,Attacking Midfield,27.5,2011/2012,Arrival
Stefan Savic,Manchester City,Centre-Back,12.0,2011/2012,Arrival
Gaël Clichy,Manchester City,Left-Back,7.75,2011/2012,Arrival
Costel Pantilimon,Manchester City,Goalkeeper,3.3,2011/2012,Arrival
Costel Pantilimon,Manchester City,Goalkeeper,0.5,2011/2012,Arrival
Jérôme Boateng,Manchester City,Centre-Back,13.5,2011/2012,Departure
Nedum Onuoha,Manchester City,Centre-Back,4.7,2011/2012,Departure
Shaun Wright-Phillips,Manchester City,Right Winger,4.5,2011/2012,Departure
Shay Given,Manchester City,Goalkeeper,3.75,2011/2012,Departure
Emmanuel Adebayor,Manchester City,Centre-Forward,2.25,2011/2012,Departure
Roque Santa Cruz,Manchester City,Centre-Forward,1.5,2011/2012,Departure
Felipe Caicedo,Manchester City,Centre-Forward,1.0,2011/2012,Departure
Javi García,Manchester City,Defensive Midfield,20.2,2012/2013,Arrival
Matija Nastasic,Manchester City,Centre-Back,15.2,2012/2013,Arrival
Jack Rodwell,Manchester City,Centre-Back,15.0,2012/2013,Arrival
Scott Sinclair,Manchester City,Left Winger,7.8,2012/2013,Arrival
Maicon,Manchester City,Right-Back,3.75,2012/2013,Arrival
Mario Balotelli,Manchester City,Centre-Forward,20.0,2012/2013,Departure
Adam Johnson,Manchester City,Right Winger,12.6,2012/2013,Departure
Emmanuel Adebayor,Manchester City,Centre-Forward,6.4,2012/2013,Departure
Nigel de Jong,Manchester City,Defensive Midfield,3.5,2012/2013,Departure
Vladimír Weiss,Manchester City,Left Winger,1.8,2012/2013,Departure
Fernandinho,Manchester City,Defensive Midfield,40.0,2013/2014,Arrival
Stevan Jovetic,Manchester City,Centre-Forward,26.0,2013/2014,Arrival
Álvaro Negredo,Manchester City,Centre-Forward,25.0,2013/2014,Arrival
Jesús Navas,Manchester City,Right-Back,20.0,2013/2014,Arrival
Martín Demichelis,Manchester City,Centre-Back,4.5,2013/2014,Arrival
Carlos Tevez,Manchester City,Second Striker,9.0,2013/2014,Departure
Scott Sinclair,Manchester City,Left Winger,2.3,2013/2014,Departure
Eliaquim Mangala,Manchester City,Centre-Back,45.0,2014/2015,Arrival
Wilfried Bony,Manchester City,Centre-Forward,32.3,2014/2015,Arrival
Fernando,Manchester City,Defensive Midfield,15.0,2014/2015,Arrival
Willy Caballero,Manchester City,Goalkeeper,8.0,2014/2015,Arrival
Bruno Zuculini,Manchester City,Defensive Midfield,2.5,2014/2015,Arrival
Javi García,Manchester City,Defensive Midfield,16.8,2014/2015,Departure
Jack Rodwell,Manchester City,Centre-Back,12.5,2014/2015,Departure
Micah Richards,Manchester City,Right-Back,1.0,2014/2015,Departure
Kevin De Bruyne,Manchester City,Attacking Midfield,76.0,2015/2016,Arrival
Raheem Sterling,Manchester City,Left Winger,63.7,2015/2016,Arrival
Nicolás Otamendi,Manchester City,Centre-Back,44.5,2015/2016,Arrival
Fabian Delph,Manchester City,Central Midfield,11.5,2015/2016,Arrival
Patrick Roberts,Manchester City,Right Winger,7.2,2015/2016,Arrival
Enes Ünal,Manchester City,Centre-Forward,4.4,2015/2016,Arrival
Rubén Sobrino,Manchester City,Centre-Forward,0.55,2015/2016,Arrival
Anthony Cáceres,Manchester City,Attacking Midfield,0.32,2015/2016,Arrival
Florian Lejeune,Manchester City,Centre-Back,0.3,2015/2016,Arrival
Álvaro Negredo,Manchester City,Centre-Forward,28.0,2015/2016,Departure
Rony Lopes,Manchester City,Right Winger,12.0,2015/2016,Departure
Matija Nastasic,Manchester City,Centre-Back,9.5,2015/2016,Departure
Karim Rekik,Manchester City,Centre-Back,5.0,2015/2016,Departure
Edin Dzeko,Manchester City,Centre-Forward,4.0,2015/2016,Departure
Scott Sinclair,Manchester City,Left Winger,3.5,2015/2016,Departure
Stevan Jovetic,Manchester City,Centre-Forward,2.5,2015/2016,Departure
Dedryck Boyata,Manchester City,Centre-Back,2.0,2015/2016,Departure
José Pozo,Manchester City,Attacking Midfield,0.5,2015/2016,Departure
Jason Denayer,Manchester City,Centre-Back,0.436,2015/2016,Departure
John Stones,Manchester City,Centre-Back,55.6,2016/2017,Arrival
Leroy Sané,Manchester City,Right Winger,52.0,2016/2017,Arrival
Gabriel Jesus,Manchester City,Centre-Forward,32.0,2016/2017,Arrival
İlkay Gündoğan,Manchester City,Central Midfield,27.0,2016/2017,Arrival
Claudio Bravo,Manchester City,Goalkeeper,18.0,2016/2017,Arrival
Nolito,Manchester City,Left Winger,18.0,2016/2017,Arrival
Marlos Moreno,Manchester City,Left Winger,5.5,2016/2017,Arrival
Gerónimo Rulli,Manchester City,Goalkeeper,4.7,2016/2017,Arrival
Oleksandr Zinchenko,Manchester City,Left-Back,2.25,2016/2017,Arrival
Yangel Herrera,Manchester City,Central Midfield,1.0,2016/2017,Arrival
Pablo Marí,Manchester City,Centre-Back,0.2,2016/2017,Arrival
Stevan Jovetic,Manchester City,Centre-Forward,13.5,2016/2017,Departure
Edin Dzeko,Manchester City,Centre-Forward,11.0,2016/2017,Departure
Gerónimo Rulli,Manchester City,Goalkeeper,7.0,2016/2017,Departure
Wilfried Bony,Manchester City,Centre-Forward,2.35,2016/2017,Departure
Florian Lejeune,Manchester City,Centre-Back,1.5,2016/2017,Departure
Aymeric Laporte,Manchester City,Centre-Back,65.0,2017/2018,Arrival
Benjamin Mendy,Manchester City,Left-Back,57.5,2017/2018,Arrival
Kyle Walker,Manchester City,Right-Back,52.7,2017/2018,Arrival
Bernardo Silva,Manchester City,Attacking Midfield,50.0,2017/2018,Arrival
Ederson,Manchester City,Goalkeeper,40.0,2017/2018,Arrival
Danilo,Manchester City,Centre-Back,30.0,2017/2018,Arrival
Douglas Luiz,Manchester City,Central Midfield,12.0,2017/2018,Arrival
Jack Harrison,Manchester City,Right Winger,4.0,2017/2018,Arrival
Olarenwaju Kayode,Manchester City,Centre-Forward,3.8,2017/2018,Arrival
Luka Ilic,Manchester City,Attacking Midfield,2.5,2017/2018,Arrival
Kelechi Iheanacho,Manchester City,Centre-Forward,27.7,2017/2018,Departure
Enes Ünal,Manchester City,Centre-Forward,14.0,2017/2018,Departure
Wilfried Bony,Manchester City,Centre-Forward,13.0,2017/2018,Departure
Aaron Mooy,Manchester City,Central Midfield,9.1,2017/2018,Departure
Nolito,Manchester City,Left Winger,7.0,2017/2018,Departure
Fernando,Manchester City,Defensive Midfield,6.0,2017/2018,Departure
Aleksandar Kolarov,Manchester City,Left-Back,5.0,2017/2018,Departure
Samir Nasri,Manchester City,Attacking Midfield,3.5,2017/2018,Departure
Joe Hart,Manchester City,Goalkeeper,2.3,2017/2018,Departure
Rubén Sobrino,Manchester City,Centre-Forward,2.0,2017/2018,Departure
Bruno Zuculini,Manchester City,Defensive Midfield,1.25,2017/2018,Departure
Jason Denayer,Manchester City,Centre-Back,0.5,2017/2018,Departure
Riyad Mahrez,Manchester City,Right Winger,67.8,2018/2019,Arrival
Ante Palaversa,Manchester City,Central Midfield,6.3,2018/2019,Arrival
