Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Wissam Ben Yedder,Sevilla,FRA,FW,27.0,2.5,2.0,8.0,4.0,50.0,3.24,1.62,0.25,0.5,
Pablo Sarabia,Sevilla,ESP,"MF,FW",26.0,2.3,1.0,5.0,2.0,40.0,2.18,0.87,0.2,0.5,
Sergi Gómez,Sevilla,ESP,DF,26.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,
Aleix Vidal,Sevilla,ESP,MF,28.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,
Sergio Escudero,Sevilla,ESP,"MF,DF",28.0,2.0,0.0,3.0,0.0,0.0,1.53,0.0,0.0,,
Luis Muriel,Sevilla,COL,FW,27.0,1.9,0.0,11.0,2.0,18.2,5.66,1.03,0.0,0.0,
Munir El Haddadi,Sevilla,MAR,FW,22.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
Javier Vázquez López,Sevilla,ESP,MF,17.0,1.0,0.0,2.0,1.0,50.0,2.0,1.0,0.0,0.0,
Borja Lasso,Sevilla,ESP,MF,24.0,0.8,0.0,3.0,1.0,33.3,3.55,1.18,0.0,0.0,
Jesús Navas,Sevilla,ESP,MF,32.0,0.8,0.0,1.0,0.0,0.0,1.29,0.0,0.0,,
Bryan Gil,Sevilla,ESP,"FW,MF",17.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,
José Mena Rodríguez,Sevilla,ESP,MF,20.0,0.2,0.0,1.0,0.0,0.0,6.43,0.0,0.0,,
Marc Roca,Espanyol,ESP,MF,21.0,38.8,,,,,,,,,
Borja Iglesias,Espanyol,ESP,FW,25.0,38.8,,,,,,,,,
Diego López,Espanyol,ESP,GK,36.0,38.0,,,,,,,,,
Sergi Darder,Espanyol,ESP,MF,24.0,34.6,,,,,,,,,
Mario Hermoso,Espanyol,ESP,DF,23.0,34.5,,,,,,,,,
Dídac Vilà,Espanyol,ESP,DF,29.0,27.6,,,,,,,,,
Óscar Melendo,Espanyol,ESP,"MF,FW",20.0,26.0,,,,,,,,,
Roberto Rosales,Espanyol,VEN,DF,29.0,24.8,,,,,,,,,
Javi López,Espanyol,ESP,DF,32.0,24.0,,,,,,,,,
Esteban Granero,Espanyol,ESP,MF,31.0,23.7,,,,,,,,,
David López,Espanyol,ESP,DF,28.0,23.1,,,,,,,,,
Léo Baptistão,Espanyol,BRA,"FW,MF",25.0,17.3,,,,,,,,,
Sergio García,Espanyol,ESP,"FW,MF",35.0,17.2,,,,,,,,,
Naldo,Espanyol,BRA,DF,29.0,16.8,,,,,,,,,
Víctor Sánchez,Espanyol,ESP,MF,30.0,16.4,,,,,,,,,
Pablo Piatti,Espanyol,ARG,"FW,MF",29.0,13.8,,,,,,,,,
Adrià Pedrosa,Espanyol,ESP,DF,20.0,12.0,,,,,,,,,
Wu Lei,Espanyol,CHN,"FW,MF",26.0,11.8,,,,,,,,,
Hernán Pérez,Espanyol,PAR,"FW,MF",29.0,9.9,,,,,,,,,
