Player,Club,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Sacha Boey,Rennes,FRA,DF,17.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0
Stefan Mitrović,Strasbourg,SRB,DF,28.0,39.6,8,2,0,18.0,9.0,1.0,0.0,46.0,16.0,0.0,0.0,1,125.0,67.0,45.0,59.8
Kenny Lala,Strasbourg,MAD,"DF,FW",26.0,38.6,4,0,0,33.0,38.0,0.0,203.0,28.0,47.0,0.0,2.0,0,227.0,24.0,36.0,40.0
Matz Sels,Strasbourg,BEL,GK,26.0,38.0,2,0,0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27.0,15.0,0.0,100.0
Pablo Martinez,Strasbourg,FRA,DF,29.0,37.9,7,0,0,30.0,48.0,0.0,13.0,53.0,34.0,1.0,1.0,0,170.0,66.0,44.0,60.0
Ibrahima Sissoko,Strasbourg,MLI,MF,20.0,32.9,11,0,0,73.0,27.0,0.0,17.0,34.0,41.0,0.0,0.0,0,187.0,59.0,48.0,55.1
Adrien Thomasson,Strasbourg,FRA,"MF,FW",24.0,31.3,6,1,1,24.0,41.0,6.0,64.0,18.0,27.0,0.0,1.0,0,166.0,14.0,45.0,23.7
Anthony Caci,Strasbourg,FRA,DF,21.0,31.2,2,0,0,27.0,8.0,1.0,39.0,47.0,30.0,0.0,1.0,0,143.0,21.0,31.0,40.4
Lamine Koné,Strasbourg,CIV,DF,29.0,28.3,2,0,0,22.0,22.0,0.0,4.0,33.0,16.0,0.0,2.0,0,118.0,55.0,30.0,64.7
Nuno da Costa,Strasbourg,CPV,FW,27.0,25.4,3,0,0,41.0,43.0,9.0,15.0,15.0,33.0,1.0,0.0,0,56.0,52.0,67.0,43.7
Jonas Martin,Strasbourg,FRA,MF,28.0,25.3,10,0,0,35.0,23.0,0.0,20.0,30.0,28.0,0.0,1.0,0,158.0,17.0,19.0,47.2
Lebo Mothiba,Strasbourg,RSA,FW,22.0,22.8,3,0,0,51.0,27.0,9.0,10.0,1.0,9.0,2.0,0.0,0,39.0,36.0,67.0,35.0
Lionel Carole,Strasbourg,FRA,"DF,FW",27.0,21.7,2,0,0,12.0,27.0,2.0,51.0,34.0,12.0,0.0,0.0,0,107.0,27.0,30.0,47.4
Ludovic Ajorque,Strasbourg,FRA,FW,24.0,20.7,5,0,0,45.0,16.0,2.0,5.0,5.0,13.0,1.0,0.0,0,32.0,104.0,60.0,63.4
Dimitri Liénard,Strasbourg,FRA,"MF,DF",30.0,19.4,1,0,0,6.0,17.0,3.0,101.0,19.0,20.0,0.0,0.0,0,94.0,4.0,12.0,25.0
Youssouf Fofana,Strasbourg,FRA,MF,19.0,15.7,1,0,0,18.0,10.0,0.0,6.0,11.0,20.0,0.0,0.0,0,65.0,5.0,7.0,41.7
Anthony Gonçalves,Strasbourg,FRA,"MF,FW",32.0,14.1,4,0,0,33.0,7.0,2.0,73.0,12.0,18.0,0.0,0.0,0,42.0,13.0,13.0,50.0
Sanjin Prcić,Strasbourg,BIH,MF,24.0,13.2,1,0,0,11.0,4.0,0.0,45.0,18.0,14.0,0.0,0.0,0,75.0,11.0,8.0,57.9
Kévin Zohi,Strasbourg,MLI,"FW,MF",21.0,10.6,0,0,0,8.0,10.0,2.0,13.0,7.0,10.0,0.0,0.0,0,33.0,9.0,16.0,36.0
Benjamin Corgnet,Strasbourg,FRA,"MF,FW",31.0,10.3,0,0,0,17.0,19.0,2.0,19.0,6.0,12.0,0.0,0.0,0,17.0,22.0,24.0,47.8
Bingourou Kamara,Strasbourg,SEN,GK,21.0,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Ismael Aaneba,Strasbourg,FRA,DF,19.0,5.6,5,0,0,7.0,1.0,0.0,12.0,14.0,8.0,0.0,0.0,0,18.0,1.0,5.0,16.7
Abdallah N'dour,Strasbourg,SEN,DF,24.0,5.4,0,0,0,4.0,5.0,0.0,12.0,7.0,4.0,0.0,0.0,0,18.0,3.0,2.0,60.0
Samuel Grandsir,Strasbourg,FRA,"MF,FW",21.0,3.6,0,1,0,3.0,4.0,2.0,10.0,2.0,8.0,0.0,0.0,0,16.0,2.0,3.0,40.0
Jérémy Grimm,Strasbourg,FRA,MF,31.0,2.9,3,0,0,4.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,0,5.0,3.0,3.0,50.0
Mootaz Zemzemi,Strasbourg,TUN,"FW,MF",18.0,2.4,0,0,0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,
Eiji Kawashima,Strasbourg,JPN,GK,35.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,100.0
Mamoudou Karamoko,Strasbourg,FRA,MF,18.0,0.5,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
