Player,Club,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Moussa Sissoko,Tottenham Hotspur,FRA,"MF,FW",28,29,27,2330,25.9,0,3,3,0,0,0,2,0,0.9,0.9,2.5,3.4,79,97,96
Kieran Trippier,Tottenham Hotspur,ENG,DF,27,27,26,2276,25.3,1,3,4,1,0,0,2,0,0.5,0.5,4.1,4.6,40,179,200
Lucas Moura,Tottenham Hotspur,BRA,"FW,MF",25,32,25,2121,23.6,10,0,10,10,0,0,3,0,6.3,6.3,1.5,7.8,79,63,193
Son Heung-min,Tottenham Hotspur,KOR,"FW,MF",26,31,23,2039,22.7,12,6,18,12,0,0,2,1,7.5,7.5,3.6,11.1,105,81,201
Davinson Sánchez,Tottenham Hotspur,COL,DF,22,23,22,1942,21.6,1,1,2,1,0,0,2,0,1.4,1.4,0.4,1.8,5,59,2
Jan Vertonghen,Tottenham Hotspur,BEL,DF,31,22,22,1911,21.2,1,0,1,1,0,0,4,1,1.0,1.0,0.2,1.3,27,121,24
Dele Alli,Tottenham Hotspur,ENG,MF,22,25,22,1825,20.3,5,3,8,5,0,0,4,0,4.8,4.8,3.1,7.9,48,111,153
Ben Davies,Tottenham Hotspur,WAL,DF,25,27,20,1844,20.5,0,0,0,0,0,0,2,0,0.5,0.5,2.1,2.6,44,101,117
Danny Rose,Tottenham Hotspur,ENG,DF,28,26,20,1798,20.0,0,3,3,0,0,0,5,0,0.7,0.7,2.2,2.9,83,99,141
Eric Dier,Tottenham Hotspur,ENG,"MF,DF",24,20,18,1506,16.7,3,0,3,3,0,0,4,0,1.0,1.0,1.0,2.0,18,95,7
Harry Winks,Tottenham Hotspur,ENG,MF,22,26,17,1597,17.7,1,0,1,1,0,0,4,0,1.0,1.0,0.3,1.3,56,124,19
Juan Foyth,Tottenham Hotspur,ARG,DF,20,12,10,888,9.9,1,0,1,1,0,0,3,1,0.7,0.7,0.8,1.5,8,26,3
Érik Lamela,Tottenham Hotspur,ARG,"MF,FW",26,19,9,974,10.8,4,2,6,4,0,0,2,0,3.3,3.3,1.8,5.2,34,34,95
Mousa Dembélé,Tottenham Hotspur,BEL,MF,31,10,7,515,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,16,9
Fernando Llorente,Tottenham Hotspur,ESP,FW,33,20,6,694,7.7,1,4,5,1,0,0,2,0,3.4,3.4,1.6,5.0,3,10,72
Serge Aurier,Tottenham Hotspur,CIV,DF,25,8,6,564,6.3,0,2,2,0,0,0,1,0,0.1,0.1,1.0,1.1,11,26,29
Victor Wanyama,Tottenham Hotspur,KEN,MF,27,13,4,516,5.7,1,0,1,1,0,0,2,0,1.0,1.0,0.1,1.0,13,28,6
Kyle Walker-Peters,Tottenham Hotspur,ENG,DF,21,6,4,376,4.2,0,3,3,0,0,0,1,0,0.3,0.3,0.5,0.8,15,13,17
Paulo Gazzaniga,Tottenham Hotspur,ARG,GK,26,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Oliver Skipp,Tottenham Hotspur,ENG,MF,17,8,2,220,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,3
Michel Vorm,Tottenham Hotspur,NED,GK,34,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Vincent Janssen,Tottenham Hotspur,NED,FW,24,3,0,39,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,0,6
Georges-Kévin N'Koudou,Tottenham Hotspur,CMR,FW,23,1,0,5,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,3
Luke Amos,Tottenham Hotspur,ENG,MF,21,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Bernd Leno,Arsenal,GER,GK,26,32,31,2836,31.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0
Shkodran Mustafi,Arsenal,GER,DF,26,31,31,2611,29.0,2,0,2,2,0,0,9,0,1.5,1.5,0.6,2.1,26,118,12
Pierre-Emerick Aubameyang,Arsenal,GAB,FW,29,36,30,2726,30.3,22,5,27,18,4,5,0,0,22.6,18.5,4.2,22.7,82,70,228
Granit Xhaka,Arsenal,SUI,"MF,DF",25,29,29,2498,27.8,4,2,6,4,0,0,10,0,2.0,2.0,3.4,5.4,37,258,34
Alexandre Lacazette,Arsenal,FRA,FW,27,35,27,2502,27.8,13,8,21,13,0,0,2,0,11.7,11.7,3.7,15.4,45,92,265
Sokratis Papastathopoulos,Arsenal,GRE,DF,30,25,25,2198,24.4,1,2,3,1,0,0,12,0,0.8,0.8,0.7,1.5,14,43,3
Lucas Torreira,Arsenal,URU,MF,22,34,24,2382,26.5,2,2,4,2,0,0,7,1,1.5,1.5,1.2,2.7,28,140,35
Mattéo Guendouzi,Arsenal,FRA,MF,19,33,23,2149,23.9,0,0,0,0,0,0,9,0,0.6,0.6,1.8,2.4,71,200,50
Alex Iwobi,Arsenal,NGA,"FW,MF",22,35,22,1970,21.9,3,6,9,3,0,0,0,0,3.5,3.5,7.0,10.5,132,141,234
Sead Kolašinac,Arsenal,BIH,"DF,MF",25,24,22,1887,21.0,0,5,5,0,0,0,5,0,0.4,0.4,6.0,6.3,74,76,179
Nacho Monreal,Arsenal,ESP,DF,32,22,21,1861,20.7,1,3,4,1,0,0,5,0,1.3,1.3,1.7,3.1,32,87,95
Mesut Özil,Arsenal,GER,"MF,FW",29,24,20,1735,19.3,5,2,7,5,0,0,2,0,1.7,1.7,4.1,5.8,75,146,174
Henrikh Mkhitaryan,Arsenal,ARM,"FW,MF",29,25,19,1641,18.2,6,4,10,6,0,0,1,0,5.0,5.0,6.2,11.2,68,107,144
Héctor Bellerín,Arsenal,ESP,DF,23,19,18,1533,17.0,0,5,5,0,0,0,3,0,0.9,0.9,2.2,3.1,48,88,121
Aaron Ramsey,Arsenal,WAL,MF,27,28,14,1331,14.8,4,6,10,4,0,0,0,0,3.4,3.4,2.0,5.4,47,88,133
Laurent Koscielny,Arsenal,FRA,DF,32,17,13,1331,14.8,3,0,3,3,0,0,1,0,1.4,1.4,0.2,1.5,8,37,3
Ainsley Maitland-Niles,Arsenal,ENG,DF,20,16,11,987,11.0,1,1,2,1,0,0,2,1,0.9,0.9,0.9,1.8,32,60,66
Stephan Lichtsteiner,Arsenal,SUI,DF,34,14,10,938,10.4,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,24,32,48
Rob Holding,Arsenal,ENG,DF,22,10,9,807,9.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,29,2
Petr Čech,Arsenal,CZE,GK,36,7,7,584,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Mohamed Elneny,Arsenal,EGY,MF,26,8,5,380,4.2,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,4,31,4
Konstantinos Mavropanos,Arsenal,GRE,DF,20,4,3,148,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,9,0
Carl Jenkinson,Arsenal,ENG,DF,26,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,9
Danny Welbeck,Arsenal,ENG,"FW,MF",27,8,1,153,1.7,1,1,2,1,0,0,0,0,0.8,0.8,0.3,1.1,6,10,11
Joe Willock,Arsenal,ENG,"MF,FW",18,2,1,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,7
Denis Suárez,Arsenal,ESP,"MF,FW",24,4,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,5
Eddie Nketiah,Arsenal,ENG,"MF,FW",19,5,0,67,0.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,3,1,7
Bukayo Saka,Arsenal,ENG,FW,16,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
David de Gea,Manchester United,ESP,GK,27,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Paul Pogba,Manchester United,FRA,MF,25,35,34,3006,33.4,13,9,22,6,7,10,6,0,15.0,7.1,4.7,11.8,100,295,205
Victor Lindelöf,Manchester United,SWE,DF,24,30,29,2601,28.9,1,1,2,1,0,0,1,0,0.7,0.7,1.2,1.9,14,83,2
Luke Shaw,Manchester United,ENG,DF,23,29,29,2591,28.8,1,4,5,1,0,0,11,0,1.4,1.4,3.9,5.3,90,158,121
Ashley Young,Manchester United,ENG,DF,33,30,28,2569,28.5,2,2,4,2,0,0,9,1,0.5,0.5,3.1,3.6,71,155,124
Nemanja Matić,Manchester United,SRB,MF,29,28,28,2436,27.1,1,0,1,1,0,0,7,1,1.3,1.3,0.5,1.8,42,165,13
Marcus Rashford,Manchester United,ENG,FW,20,33,26,2334,25.9,10,6,16,10,0,0,3,1,10.7,10.7,5.0,15.7,74,65,225
Chris Smalling,Manchester United,ENG,DF,28,24,24,2127,23.6,1,0,1,1,0,0,1,0,1.2,1.2,0.2,1.4,3,35,6
Romelu Lukaku,Manchester United,BEL,FW,25,32,22,2136,23.7,12,0,12,12,0,0,4,0,10.5,10.5,2.2,12.7,44,55,200
Jesse Lingard,Manchester United,ENG,"FW,MF",25,27,19,1663,18.5,4,2,6,3,1,1,3,0,4.7,3.9,2.7,6.6,41,55,109
Anthony Martial,Manchester United,FRA,FW,22,27,18,1621,18.0,10,2,12,9,1,1,2,0,6.2,5.4,2.9,8.2,109,66,205
Ander Herrera,Manchester United,ESP,MF,28,22,16,1403,15.6,2,3,5,2,0,0,4,0,1.3,1.3,1.6,2.9,21,93,30
Juan Mata,Manchester United,ESP,"FW,MF",30,22,16,1289,14.3,3,2,5,3,0,0,3,0,1.6,1.6,2.9,4.5,24,75,96
Phil Jones,Manchester United,ENG,DF,26,18,15,1263,14.0,0,1,1,0,0,0,1,0,0.4,0.4,0.5,1.0,11,35,2
Fred,Manchester United,BRA,MF,25,17,13,1041,11.6,1,1,2,1,0,0,2,0,0.8,0.8,1.0,1.9,18,73,21
Diogo Dalot,Manchester United,POR,"DF,FW",19,16,12,1013,11.3,0,2,2,0,0,0,3,0,0.7,0.7,2.3,3.0,42,31,82
Alexis Sánchez,Manchester United,CHI,"FW,MF",29,20,9,880,9.8,1,3,4,1,0,0,3,0,1.5,1.5,3.0,4.5,37,50,89
Scott McTominay,Manchester United,SCO,"MF,DF",21,16,9,867,9.6,2,0,2,2,0,0,1,0,1.5,1.5,0.0,1.5,8,34,12
Eric Bailly,Manchester United,CIV,DF,24,12,8,638,7.1,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,3,13,2
Marouane Fellaini,Manchester United,BEL,MF,30,14,6,752,8.4,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.9,1,36,29
Andreas Pereira,Manchester United,BRA,MF,22,15,6,599,6.7,1,1,2,1,0,0,5,0,0.3,0.3,0.9,1.1,10,33,19
Antonio Valencia,Manchester United,ECU,DF,32,6,5,466,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,18,25,21
Matteo Darmian,Manchester United,ITA,DF,28,6,5,443,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,20,18
Marcos Rojo,Manchester United,ARG,DF,28,5,2,212,2.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,8,3
Mason Greenwood,Manchester United,ENG,FW,16,3,1,117,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,8,3,18
Tahith Chong,Manchester United,NED,FW,18,2,0,38,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,5,7
Angel Gomes,Manchester United,ENG,"MF,FW",17,2,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,3
James Garner,Manchester United,ENG,MF,17,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Conor Coady,Wolverhampton Wanderers,ENG,DF,25,38,38,3420,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,11,78,0
Rui Patrício,Wolverhampton Wanderers,POR,GK,30,37,37,3329,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Willy Boly,Wolverhampton Wanderers,CIV,DF,27,36,36,3167,35.2,4,0,4,4,0,0,2,1,3.6,3.6,2.1,5.6,29,136,12
Raúl Jiménez,Wolverhampton Wanderers,MEX,FW,27,38,36,3111,34.6,13,7,20,11,2,2,4,0,15.1,13.6,6.3,19.8,76,82,236
Matt Doherty,Wolverhampton Wanderers,IRL,"DF,MF",26,38,35,3144,34.9,4,5,9,4,0,0,5,0,4.4,4.4,5.1,9.5,80,129,221
João Moutinho,Wolverhampton Wanderers,POR,MF,31,38,35,3032,33.7,1,8,9,1,0,0,4,0,0.7,0.7,6.5,7.2,34,220,48
Ryan Bennett,Wolverhampton Wanderers,ENG,DF,28,34,34,3060,34.0,1,0,1,1,0,0,12,0,1.3,1.3,1.0,2.2,14,92,10
Rúben Neves,Wolverhampton Wanderers,POR,MF,21,35,34,3007,33.4,4,3,7,2,2,2,8,0,4.0,2.4,1.9,4.3,15,206,12
Jonny Castro,Wolverhampton Wanderers,ESP,"DF,MF",24,33,32,2771,30.8,1,1,2,1,0,0,6,0,2.0,2.0,1.6,3.6,85,75,161
Diogo Jota,Wolverhampton Wanderers,POR,"FW,MF",21,33,29,2355,26.2,9,5,14,9,0,0,11,0,8.8,8.8,5.3,14.0,125,71,182
Leander Dendoncker,Wolverhampton Wanderers,BEL,MF,23,19,17,1467,16.3,2,0,2,2,0,0,1,0,3.4,3.4,1.2,4.7,15,44,31
Hélder Costa,Wolverhampton Wanderers,ANG,"FW,MF",24,25,16,1341,14.9,1,2,3,1,0,0,3,0,2.4,2.4,2.2,4.6,67,37,127
Romain Saïss,Wolverhampton Wanderers,MAR,"MF,DF",28,19,12,1149,12.8,2,0,2,2,0,0,7,0,1.4,1.4,0.6,2.0,9,66,8
Adama Traoré,Wolverhampton Wanderers,ESP,"FW,MF",22,29,8,902,10.0,1,1,2,1,0,0,1,0,1.3,1.3,2.2,3.5,82,31,61
Rúben Vinagre,Wolverhampton Wanderers,POR,"DF,MF",19,17,7,710,7.9,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.2,45,22,63
Ivan Cavaleiro,Wolverhampton Wanderers,POR,"FW,MF",24,23,6,693,7.7,3,1,4,3,0,0,1,0,2.2,2.2,1.5,3.7,42,25,101
Morgan Gibbs-White,Wolverhampton Wanderers,ENG,"MF,FW",18,26,5,663,7.4,0,1,1,0,0,0,1,0,1.1,1.1,1.3,2.4,13,28,47
John Ruddy,Wolverhampton Wanderers,ENG,GK,31,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Léo Bonatini,Wolverhampton Wanderers,BRA,FW,24,7,0,135,1.5,0,1,1,0,0,0,0,0,1.3,1.3,0.1,1.4,1,8,15
Max Kilman,Wolverhampton Wanderers,ENG,DF,21,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Will Norris,Wolverhampton Wanderers,ENG,GK,24,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Jordan Pickford,Everton,ENG,GK,24,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Gylfi Sigurðsson,Everton,ISL,MF,28,38,36,3117,34.6,13,6,19,11,2,5,3,0,10.7,6.7,6.9,13.6,51,172,144
Michael Keane,Everton,ENG,DF,25,33,33,2969,33.0,1,2,3,1,0,0,2,0,2.3,2.3,1.4,3.8,11,113,2
Lucas Digne,Everton,FRA,DF,25,35,33,2965,32.9,4,4,8,4,0,0,5,1,1.3,1.3,7.1,8.4,82,167,221
Idrissa Gana Gueye,Everton,SEN,MF,28,33,32,2822,31.4,0,2,2,0,0,0,6,0,0.6,0.6,0.8,1.4,40,216,30
Richarlison,Everton,BRA,"FW,MF",21,35,32,2665,29.6,13,1,14,13,0,0,5,1,9.4,9.3,2.0,11.3,95,74,220
Kurt Zouma,Everton,FRA,DF,23,32,29,2612,29.0,2,2,4,2,0,0,4,1,1.5,1.5,0.4,1.8,23,105,4
Séamus Coleman,Everton,IRL,DF,29,29,29,2558,28.4,2,2,4,2,0,0,1,0,1.6,1.6,3.6,5.2,71,125,190
Bernard,Everton,BRA,"FW,MF",25,34,25,2116,23.5,1,3,4,1,0,0,5,0,2.6,2.6,2.3,5.0,99,89,202
Theo Walcott,Everton,ENG,"FW,MF",29,37,24,2119,23.5,5,2,7,5,0,0,1,0,5.7,5.7,2.7,8.4,50,52,167
