Player,Club,Nation,Pos,Age,Minutes,Fouls,Interceptions,Clearances,Errors,Blocked passes and shots,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Progressive Carrying Distance,Assists,Red cards,Yellow cards,% of tackles won
Joaquín Fernández,Valladolid,ESP,DF,22,839,86.96808510638297,91.0904255319149,71.27659574468085,0.0,24.335106382978726,75.53191489361703,1.9946808510638299,52.92553191489362,3.590425531914894,0.0,0.0,57.84574468085106,87.7659574468085
Hugo Mallo,Celta Vigo,ESP,DF,27,3092,73.93617021276596,38.430851063829785,51.329787234042556,47.340425531914896,55.71808510638297,53.058510638297875,73.40425531914893,61.03723404255319,37.36702127659575,82.7127659574468,0.0,82.84574468085107,15.159574468085108
Néstor Araujo,Celta Vigo,MEX,DF,26,2682,4.654255319148936,21.409574468085108,78.32446808510637,51.86170212765957,34.70744680851064,41.62234042553192,18.882978723404257,28.856382978723406,23.138297872340424,0.0,84.44148936170212,20.345744680851062,8.643617021276597
Gustavo Cabral,Celta Vigo,ARG,DF,32,1897,31.914893617021278,53.058510638297875,71.4095744680851,59.04255319148937,69.81382978723404,62.5,22.872340425531913,48.40425531914894,20.079787234042552,0.0,97.07446808510637,76.32978723404256,63.430851063829785
David Juncà,Celta Vigo,ESP,DF,24,1754,63.16489361702128,61.43617021276596,34.97340425531915,60.37234042553191,63.96276595744681,94.14893617021278,61.702127659574465,50.797872340425535,50.13297872340425,90.69148936170212,0.0,81.38297872340425,11.436170212765957
David Costas,Celta Vigo,ESP,DF,23,1173,60.90425531914894,38.56382978723404,63.96276595744681,73.40425531914893,19.81382978723404,82.18085106382979,19.148936170212767,0.0,41.48936170212766,0.0,0.0,81.25,14.095744680851062
Lucas Olaza,Celta Vigo,URU,DF,24,897,13.962765957446807,6.515957446808511,4.654255319148936,0.0,57.31382978723404,91.22340425531915,73.93617021276596,73.13829787234043,15.824468085106384,94.54787234042553,0.0,52.92553191489362,32.047872340425535
Júnior Alonso,Celta Vigo,PAR,DF,25,536,75.13297872340425,30.186170212765955,53.72340425531915,93.88297872340425,60.90425531914894,63.16489361702128,62.36702127659575,66.3563829787234,11.569148936170212,0.0,0.0,84.8404255319149,97.3404255319149
Juanpe,Girona,ESP,DF,27,2767,60.77127659574468,68.88297872340425,64.8936170212766,0.0,28.191489361702125,39.361702127659576,40.02659574468085,28.45744680851064,52.26063829787234,0.0,0.0,71.80851063829788,15.292553191489361
Bernardo Espinosa,Girona,COL,DF,29,2727,54.38829787234043,46.1436170212766,94.28191489361703,93.35106382978722,72.47340425531915,4.654255319148936,3.723404255319149,0.0,4.388297872340425,53.45744680851063,94.0159574468085,51.86170212765957,76.06382978723404
