Player,Nation,Age,Club,90 minutes played,Minutes played,Position,Passes completed,Passes attempted,Completed passes %,Total pass distance,Progressive pass distance,Short passes completed,Short passes attempted,Short passes completed %,Medium passes completed,Medium passes attempted,Medium passes completed %,Long passes completed,Long passes attempted,Long passes completed %,Assists,Expected Assisted Goals,Expected Assists,A minus xAG,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Shot creating actions,Shot creating actions per 90,Shot creating actions by live-ball passes,Shot creating actions by dead-ball passes,Successful Take-Ons that led to a shot,Shots that led to another shot attempt,Fouls drawn that led to a shot attempt,Defensive actions that led to a shot attempt,Goal creating actions,Goal creating actions per 90,Goal creating actions by live-ball passes,Goal creating actions by dead-ball passes,Successful Take-Ons that led to a goal,Shots that led to another goal-scoring shot,Fouls drawn that led to a goal,Defensive actions that led to a goal,Goals,Shots on target,Shots on target %,Shots per 90,Shots on target per 90,Goals per shot,Goals per shot on target,Average shooting distance,Shots from free kicks,Penalty kicks made,Penalty kicks attempted,Expected Goals,Non-penalty expected goals,Non-penalty expected goals/Shot,Goals minus expected Goals,Non-penalty goals minus non-penalty expected Goals,Tackles,Tackles won,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Dribblers tackled,% of dribblers tackled,Challenges lost,Balls blocked,Passes blocked,Interceptions,Number of tackles and interceptions,Clearances,Errors,Tackles won %,Touches,Touches in defensive penalty area,Touches in defensive 1/3,Touches in middle 1/3,Touches in attacking 1/3,Touches in attacking penalty area,Live-ball touches,Take ons attempted,Successful take ons,Successful take ons %,Times tackled during take on,Times tackled during take on %,Times ball carried with feet,Total moved ball distance,Progressive moved ball distance,Progressive Carries,Carries into final 1/3,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive Passes Received,Yellow cards,Red cards,Second yellow card,Fouls committed,Offsides,Crosses,Penalty kicks won,Penalty kicks conceded,Own goals,Recoveries,Aerial duels won,Aerial duels won %
John Stones,ENG,24,Manchester City,19.6,1764,DF,2052.0,2173.0,94.4,37123.0,11665.0,821.0,857.0,95.8,963.0,1001.0,96.2,211.0,247.0,85.4,1.0,0.3,0.8,0.7,6.0,130.0,4.0,1.0,137.0,20.0,0.82,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,30.0,0.32,0.09,0.0,0.0,10.1,0.0,0,0,0.8,0.8,0.11,-0.8,-0.8,21.0,19.0,11.0,8.0,2.0,7.0,58.3,5.0,21.0,9.0,30.0,42.0,77.0,1.0,0.9047619047619048,2337.0,149.0,765.0,1482.0,107.0,15.0,2337.0,11.0,8.0,72.7,3.0,27.3,1675.0,10547.0,6137.0,45.0,18.0,0.0,3.0,4.0,1864.0,5.0,1.0,0.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,141.0,71.0,69.6
Riyad Mahrez,ALG,27,Manchester City,14.9,1343,FW,887.0,1121.0,79.1,14018.0,2820.0,461.0,516.0,89.3,299.0,380.0,78.7,74.0,124.0,59.7,12.0,6.5,6.6,5.5,37.0,34.0,55.0,13.0,94.0,73.0,3.79,47.0,8.0,6.0,7.0,3.0,2.0,14.0,0.73,9.0,2.0,1.0,1.0,0.0,1.0,12,39.0,39.8,3.41,1.36,0.12,0.31,17.5,1.0,0,1,6.8,6.0,0.09,1.2,2.0,23.0,17.0,4.0,14.0,5.0,9.0,33.3,18.0,26.0,24.0,13.0,33.0,13.0,1.0,0.7391304347826086,1353.0,10.0,83.0,541.0,740.0,110.0,1352.0,46.0,27.0,58.7,19.0,41.3,1030.0,6754.0,3173.0,107.0,65.0,58.0,32.0,32.0,1018.0,235.0,1.0,0.0,0.0,20.0,16.0,151.0,0.0,0.0,0.0,103.0,21.0,42.9
Nicolás Otamendi,ARG,30,Manchester City,13.7,1236,DF,1513.0,1640.0,92.3,28863.0,7916.0,471.0,494.0,95.3,895.0,947.0,94.5,124.0,159.0,78.0,1.0,0.2,0.3,0.8,3.0,81.0,2.0,0.0,101.0,15.0,0.83,12.0,0.0,1.0,2.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,1,6.0,23.1,0.93,0.22,0.04,0.17,11.8,0.0,0,0,1.7,1.7,0.09,-1.7,-1.7,33.0,24.0,21.0,11.0,1.0,12.0,66.7,6.0,10.0,3.0,47.0,68.0,81.0,2.0,0.7272727272727273,1832.0,120.0,539.0,1235.0,62.0,23.0,1832.0,2.0,2.0,100.0,0.0,0.0,1355.0,8655.0,5314.0,33.0,18.0,0.0,4.0,1.0,1419.0,4.0,5.0,1.0,1.0,26.0,1.0,2.0,0.0,1.0,0.0,86.0,62.0,65.3
Oleksandr Zinchenko,UKR,21,Manchester City,12.8,1151,DF,1542.0,1707.0,90.3,22583.0,5409.0,881.0,943.0,93.4,497.0,542.0,91.7,87.0,111.0,78.4,4.0,2.1,2.2,1.9,17.0,156.0,33.0,8.0,127.0,39.0,2.36,36.0,2.0,1.0,0.0,0.0,0.0,8.0,0.48,8.0,0.0,0.0,0.0,0.0,0.0,1,3.0,18.8,0.61,0.11,0.06,0.33,26.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,42.0,43.0,15.0,19.0,8.0,17.0,43.6,22.0,20.0,16.0,38.0,73.0,28.0,1.0,1.0238095238095235,1874.0,30.0,251.0,1070.0,559.0,11.0,1874.0,14.0,6.0,42.9,8.0,57.1,1226.0,4565.0,2551.0,62.0,71.0,2.0,11.0,5.0,1363.0,121.0,2.0,0.0,0.0,26.0,3.0,78.0,0.0,0.0,0.0,99.0,28.0,42.4
Vincent Kompany,BEL,32,Manchester City,13.6,1224,DF,1331.0,1424.0,93.5,25158.0,8896.0,465.0,496.0,93.8,696.0,724.0,96.1,148.0,173.0,85.5,1.0,0.1,0.3,0.9,3.0,96.0,1.0,0.0,92.0,15.0,0.94,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,1,1.0,14.3,0.35,0.05,0.14,1.0,18.4,0.0,0,0,0.3,0.3,0.05,0.7,0.7,19.0,13.0,13.0,4.0,2.0,9.0,81.8,2.0,12.0,3.0,23.0,38.0,62.0,0.0,0.6842105263157895,1561.0,98.0,524.0,996.0,45.0,12.0,1561.0,4.0,3.0,75.0,1.0,25.0,1044.0,5724.0,3175.0,20.0,15.0,0.0,6.0,0.0,1227.0,3.0,7.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,82.0,38.0,69.1
Kevin De Bruyne,BEL,27,Manchester City,10.8,975,MF,755.0,996.0,75.8,12841.0,3600.0,355.0,405.0,87.7,283.0,345.0,82.0,81.0,155.0,52.3,10.0,7.1,3.9,2.9,46.0,75.0,50.0,8.0,121.0,97.0,7.15,66.0,16.0,8.0,3.0,4.0,0.0,11.0,0.81,7.0,2.0,1.0,0.0,1.0,0.0,6,21.0,42.0,2.47,1.04,0.12,0.29,23.9,6.0,0,0,1.8,1.8,0.05,0.2,0.2,25.0,28.0,8.0,12.0,5.0,7.0,26.9,19.0,19.0,17.0,13.0,30.0,3.0,1.0,1.12,1150.0,8.0,79.0,508.0,576.0,50.0,1150.0,31.0,23.0,74.2,8.0,25.8,766.0,3808.0,2305.0,60.0,52.0,12.0,26.0,16.0,854.0,110.0,2.0,0.0,0.0,19.0,1.0,165.0,0.0,0.0,0.0,81.0,7.0,36.8
Benjamin Mendy,FRA,24,Manchester City,10.0,900,DF,776.0,922.0,84.2,11440.0,3174.0,441.0,465.0,94.8,273.0,324.0,84.3,35.0,71.0,49.3,5.0,1.9,1.2,3.1,14.0,59.0,23.0,9.0,81.0,30.0,2.52,24.0,2.0,1.0,2.0,0.0,1.0,7.0,0.59,5.0,1.0,0.0,1.0,0.0,0.0,0,4.0,40.0,0.71,0.28,0.0,0.0,25.3,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,22.0,17.0,13.0,7.0,2.0,12.0,54.5,10.0,13.0,9.0,11.0,33.0,19.0,0.0,0.7727272727272727,1026.0,20.0,154.0,518.0,362.0,10.0,1026.0,16.0,9.0,56.3,7.0,43.8,659.0,2708.0,1615.0,54.0,31.0,3.0,10.0,13.0,697.0,76.0,1.0,0.0,0.0,22.0,0.0,72.0,0.0,0.0,0.0,73.0,9.0,28.1
Danilo,BRA,27,Manchester City,9.0,807,DF,904.0,1029.0,87.9,14907.0,3167.0,443.0,470.0,94.3,391.0,438.0,89.3,56.0,83.0,67.5,1.0,0.3,0.8,0.7,5.0,91.0,9.0,2.0,89.0,19.0,1.84,16.0,0.0,0.0,2.0,1.0,0.0,3.0,0.29,2.0,0.0,0.0,1.0,0.0,0.0,1,7.0,25.0,1.7,0.42,0.04,0.14,25.3,0.0,0,0,0.4,0.4,0.03,0.6,0.6,20.0,28.0,6.0,12.0,2.0,12.0,70.6,5.0,6.0,6.0,23.0,37.0,24.0,1.0,1.4,1132.0,20.0,174.0,686.0,284.0,8.0,1132.0,13.0,8.0,61.5,5.0,38.5,694.0,2773.0,1580.0,21.0,32.0,2.0,8.0,6.0,804.0,33.0,4.0,0.0,0.0,14.0,0.0,22.0,0.0,0.0,0.0,73.0,19.0,57.6
Gabriel Jesus,BRA,21,Manchester City,11.5,1036,FW,383.0,471.0,81.3,4147.0,584.0,233.0,266.0,87.6,82.0,102.0,80.4,7.0,12.0,58.3,7.0,2.6,1.5,4.4,26.0,17.0,10.0,0.0,27.0,65.0,4.15,48.0,0.0,8.0,6.0,3.0,0.0,9.0,0.57,6.0,0.0,0.0,2.0,1.0,0.0,21,49.0,49.5,3.87,1.92,0.18,0.37,13.1,0.0,3,3,15.1,12.8,0.21,-4.1,-4.8,12.0,9.0,6.0,3.0,3.0,0.0,0.0,7.0,21.0,19.0,8.0,16.0,10.0,0.0,0.75,703.0,10.0,48.0,262.0,406.0,120.0,700.0,45.0,25.0,55.6,20.0,44.4,505.0,2435.0,1138.0,48.0,28.0,26.0,42.0,32.0,552.0,170.0,1.0,0.0,0.0,25.0,31.0,7.0,0.0,0.0,0.0,54.0,18.0,26.1
Fabian Delph,ENG,28,Manchester City,8.1,725,DF,920.0,1016.0,90.6,13373.0,3095.0,558.0,575.0,97.0,276.0,302.0,91.4,54.0,82.0,65.9,1.0,0.3,0.6,0.7,3.0,81.0,12.0,1.0,75.0,17.0,1.55,16.0,0.0,0.0,1.0,0.0,0.0,3.0,0.27,2.0,0.0,0.0,1.0,0.0,0.0,0,6.0,50.0,0.88,0.44,0.0,0.0,25.2,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,25.0,17.0,12.0,8.0,5.0,13.0,44.8,16.0,7.0,6.0,21.0,43.0,23.0,2.0,0.68,1121.0,28.0,172.0,724.0,228.0,3.0,1121.0,12.0,10.0,83.3,2.0,16.7,821.0,3281.0,1725.0,27.0,39.0,1.0,12.0,1.0,824.0,36.0,1.0,1.0,0.0,13.0,0.0,12.0,0.0,1.0,0.0,80.0,14.0,45.2
Phil Foden,ENG,18,Manchester City,3.7,335,MF,258.0,305.0,84.6,3097.0,581.0,151.0,171.0,88.3,64.0,72.0,88.9,9.0,12.0,75.0,2.0,1.3,1.3,0.7,12.0,17.0,9.0,2.0,22.0,26.0,5.11,17.0,1.0,5.0,0.0,3.0,0.0,2.0,0.39,1.0,0.0,1.0,0.0,0.0,0.0,7,19.0,48.7,3.05,1.49,0.18,0.37,15.6,0.0,0,0,3.2,3.2,0.15,-1.2,-1.2,8.0,13.0,2.0,3.0,3.0,2.0,13.3,13.0,2.0,2.0,6.0,12.0,3.0,0.0,1.625,359.0,2.0,25.0,168.0,170.0,33.0,359.0,15.0,11.0,73.3,4.0,26.7,272.0,1364.0,736.0,28.0,14.0,9.0,4.0,5.0,300.0,44.0,1.0,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,21.0,3.0,30.0
Alisson,BRA,25,Liverpool,38.0,3420,GK,1433.0,1737.0,82.5,37715.0,24615.0,190.0,195.0,97.4,829.0,834.0,99.4,414.0,701.0,59.1,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,0.12,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,2.0,4.0,16.0,7.0,0.5,1819.0,1525.0,1805.0,15.0,0.0,0.0,1819.0,2.0,2.0,100.0,0.0,0.0,1112.0,4955.0,3310.0,1.0,1.0,0.0,0.0,1.0,893.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,13.0,92.9
Virgil van Dijk,NED,27,Liverpool,37.6,3384,DF,3357.0,3773.0,89.0,67400.0,21821.0,1096.0,1185.0,92.5,1812.0,1938.0,93.5,419.0,580.0,72.2,4.0,1.7,1.3,2.3,10.0,176.0,6.0,0.0,216.0,41.0,0.83,35.0,0.0,1.0,4.0,0.0,1.0,10.0,0.2,7.0,0.0,0.0,3.0,0.0,0.0,6,13.0,31.7,0.83,0.26,0.15,0.46,12.8,1.0,0,0,5.2,5.2,0.13,0.8,0.8,50.0,36.0,30.0,18.0,2.0,17.0,100.0,0.0,38.0,13.0,50.0,100.0,259.0,3.0,0.72,4243.0,323.0,1630.0,2462.0,161.0,81.0,4243.0,13.0,10.0,76.9,3.0,23.1,2724.0,11416.0,5992.0,23.0,24.0,3.0,8.0,1.0,2965.0,26.0,4.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,0.0,246.0,215.0,71.4
Mohamed Salah,EGY,26,Liverpool,36.1,3250,FW,1086.0,1507.0,72.1,13894.0,3911.0,688.0,842.0,81.7,254.0,356.0,71.3,49.0,101.0,48.5,10.0,12.7,10.5,-2.7,82.0,71.0,87.0,4.0,165.0,211.0,4.41,137.0,5.0,33.0,20.0,16.0,0.0,25.0,0.52,10.0,1.0,5.0,4.0,5.0,0.0,27,73.0,39.5,3.84,1.52,0.12,0.3,17.1,4.0,5,5,27.3,23.4,0.13,-0.3,-1.4,32.0,12.0,5.0,12.0,15.0,9.0,37.5,15.0,12.0,12.0,9.0,41.0,7.0,1.0,0.375,2101.0,8.0,78.0,607.0,1442.0,375.0,2096.0,190.0,104.0,54.7,86.0,45.3,1585.0,9612.0,4830.0,168.0,117.0,116.0,147.0,150.0,1657.0,580.0,2.0,0.0,0.0,43.0,33.0,79.0,5.0,0.0,0.0,169.0,15.0,16.1
Andrew Robertson,SCO,24,Liverpool,35.7,3216,DF,2871.0,3600.0,79.8,45288.0,15731.0,1575.0,1729.0,91.1,1057.0,1319.0,80.1,171.0,373.0,45.8,13.0,9.1,7.9,3.9,59.0,202.0,80.0,17.0,309.0,118.0,2.52,105.0,2.0,4.0,4.0,3.0,0.0,21.0,0.45,20.0,0.0,1.0,0.0,0.0,0.0,0,8.0,36.4,0.47,0.17,0.0,0.0,18.4,0.0,0,0,1.1,1.1,0.05,-1.1,-1.1,110.0,63.0,59.0,40.0,11.0,58.0,59.2,40.0,46.0,38.0,36.0,146.0,82.0,4.0,0.5727272727272728,3985.0,112.0,871.0,1989.0,1162.0,115.0,3985.0,59.0,35.0,59.3,24.0,40.7,2405.0,11394.0,7005.0,155.0,151.0,14.0,38.0,30.0,2709.0,319.0,7.0,0.0,0.0,29.0,1.0,161.0,0.0,0.0,0.0,292.0,29.0,46.0
Sadio Mané,SEN,26,Liverpool,34.2,3077,FW,1198.0,1592.0,75.3,17340.0,3904.0,700.0,825.0,84.8,350.0,456.0,76.8,74.0,115.0,64.3,2.0,6.5,6.4,-4.5,61.0,89.0,78.0,6.0,179.0,170.0,3.62,120.0,0.0,21.0,11.0,17.0,1.0,22.0,0.47,11.0,0.0,7.0,1.0,3.0,0.0,26,51.0,45.1,2.37,1.07,0.23,0.51,12.9,0.0,0,1,23.2,22.3,0.2,2.8,3.7,55.0,45.0,21.0,26.0,8.0,16.0,31.4,35.0,38.0,32.0,20.0,75.0,15.0,2.0,0.8181818181818182,2148.0,21.0,176.0,855.0,1145.0,258.0,2147.0,146.0,79.0,54.1,67.0,45.9,1590.0,10010.0,4749.0,175.0,116.0,66.0,141.0,79.0,1684.0,386.0,4.0,0.0,0.0,59.0,39.0,56.0,3.0,0.0,0.0,195.0,53.0,33.1
