Player,Club,Nation,Pos,Age,Minutes,Goals without penalties,Assists,Expected goals,Expected assists,Progressive runs,Shot creating actions,Crosses into penalty area,Successful Take-ons,Goals per shots on target,Shots on target %,Shots,Aerial duels won
Rouwen Hennings,Dusseldorf,GER,FW,30,1833,55.6745182012848,73.23340471092077,73.23340471092077,61.02783725910065,23.98286937901499,45.182012847965744,0.0,19.914346895074946,46.25267665952891,58.45824411134903,70.66381156316916,55.6745182012848
Kenan Karaman,Dusseldorf,TUR,FW,24,919,55.46038543897216,43.897216274089935,55.24625267665952,79.44325481798715,70.8779443254818,71.5203426124197,44.96788008565311,86.50963597430406,64.02569593147751,49.46466809421842,25.910064239828696,82.44111349036403
Marvin Ducksch,Dusseldorf,GER,FW,24,823,16.70235546038544,46.466809421841546,18.629550321199144,75.58886509635975,39.61456102783726,82.86937901498929,26.33832976445396,3.854389721627409,37.25910064239829,98.28693790149893,35.76017130620985,86.0813704496788
Salomon Kalou,Hertha BSC,CIV,FW,32,2317,36.402569593147746,36.402569593147746,67.88008565310493,77.08779443254818,48.60813704496788,54.17558886509636,56.102783725910065,94.86081370449678,46.25267665952891,33.61884368308351,13.062098501070663,35.974304068522486
Vedad Ibišević,Hertha BSC,BIH,FW,33,1807,82.01284796573876,44.11134903640257,96.1456102783726,19.700214132762312,18.843683083511777,29.1220556745182,26.33832976445396,70.8779443254818,85.4389721627409,56.9593147751606,61.45610278372591,77.94432548179871
Davie Selke,Hertha BSC,GER,FW,23,1739,27.194860813704498,85.65310492505354,41.97002141327623,69.37901498929337,60.38543897216274,37.687366167023555,56.102783725910065,31.905781584582442,20.342612419700217,67.02355460385438,46.895074946466806,88.6509635974304
Mathew Leckie,Hertha BSC,AUS,FW,27,941,35.54603854389722,0.0,38.75802997858672,32.54817987152035,74.08993576017131,41.97002141327623,72.59100642398288,25.053533190578158,24.839400428265524,64.66809421841542,32.11991434689507,99.78586723768737
Javairô Dilrosun,Hertha BSC,NED,FW,20,898,37.47323340471092,93.36188436830835,1.284796573875803,73.87580299785867,34.90364025695932,73.23340471092077,44.96788008565311,22.055674518201286,50.32119914346895,82.44111349036403,4.496788008565311,6.423982869379015
Jean-Philippe Mateta,Mainz 05,FRA,FW,21,2483,88.22269807280514,34.26124197002141,86.7237687366167,45.182012847965744,29.336188436830835,44.75374732334047,44.96788008565311,50.96359743040685,75.16059957173448,31.69164882226981,91.22055674518201,88.22269807280514
Robin Quaison,Mainz 05,SWE,FW,24,2194,54.81798715203426,51.39186295503212,59.100642398286936,26.76659528907923,11.563169164882227,10.706638115631693,56.102783725910065,34.68950749464668,83.08351177730194,39.186295503211994,41.54175588865097,15.203426124197003
Karim Onisiwo,Mainz 05,AUT,FW,26,1161,91.64882226980728,82.22698072805139,76.017130620985,90.14989293361884,65.95289079229121,71.09207708779444,72.59100642398288,18.843683083511777,68.95074946466809,71.5203426124197,77.51605995717344,88.86509635974305
Anthony Ujah,Mainz 05,NGA,FW,27,735,86.7237687366167,0.0,88.22269807280514,90.79229122055675,49.46466809421842,56.53104925053534,0.0,76.44539614561027,40.471092077087796,83.72591006423983,81.37044967880087,81.15631691648822
Nils Petersen,Freiburg,GER,FW,29,1929,78.15845824411134,58.45824411134903,55.88865096359743,25.69593147751606,6.423982869379015,22.483940042826553,0.0,11.349036402569594,80.51391862955032,73.23340471092077,52.03426124197003,37.04496788008566
Luca Waldschmidt,Freiburg,GER,FW,22,1717,59.95717344753747,28.051391862955033,72.80513918629549,47.32334047109208,5.567451820128479,67.88008565310493,56.102783725910065,54.389721627408996,23.340471092077088,70.44967880085653,82.01284796573876,22.055674518201286
Florian Niederlechner,Freiburg,GER,FW,27,970,71.5203426124197,42.184154175588866,74.51820128479658,17.558886509635975,10.492505353319057,25.481798715203425,0.0,22.055674518201286,24.839400428265524,95.71734475374733,71.5203426124197,33.61884368308351
Lucas Höler,Freiburg,GER,FW,24,1006,69.16488222698072,0.0,59.314775160599574,6.852248394004283,58.67237687366167,57.17344753747323,44.96788008565311,8.565310492505352,50.32119914346895,78.15845824411134,45.396145610278374,30.19271948608137
Guido Burgstaller,Schalke 04,AUT,FW,29,1526,46.25267665952891,0.0,58.45824411134903,25.481798715203425,38.32976445396146,17.34475374732334,44.96788008565311,3.4261241970021414,30.83511777301927,50.53533190578159,53.319057815845824,40.68522483940043
Mark Uth,Schalke 04,GER,FW,26,1407,21.627408993576015,31.69164882226981,47.96573875802998,36.61670235546038,26.33832976445396,35.76017130620985,26.33832976445396,25.910064239828696,19.05781584582441,48.394004282655246,50.32119914346895,18.41541755888651
Breel Embolo,Schalke 04,SUI,FW,21,1345,63.597430406852254,31.905781584582442,44.11134903640257,75.16059957173448,53.104925053533194,61.88436830835118,0.0,30.406852248394006,47.96573875802998,77.51605995717344,30.83511777301927,44.53961456102783
Steven Skrzybski,Schalke 04,GER,FW,25,664,76.23126338329764,56.74518201284796,60.17130620985011,59.743040685224834,47.53747323340471,11.991434689507495,0.0,82.01284796573876,64.02569593147751,49.46466809421842,55.88865096359743,2.569593147751606
