Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Marko Dmitrović,Eibar,SRB,GK,26.0,24.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Anaitz Arbilla,Eibar,ESP,DF,31.0,23.6,1,20.0,1.0,5.0,0.85,0.04,0.05,1.0,24.7,3.0,0,0,0.9,0.9,0.05,0.1,0.1
Charles,Eibar,BRA,FW,34.0,20.7,15,61.0,27.0,44.3,2.95,1.31,0.15,0.33,15.2,0.0,6,7,12.2,6.7,0.12,1.8,1.3
Gonzalo Escalante,Eibar,ARG,MF,25.0,19.9,4,22.0,8.0,36.4,1.11,0.4,0.18,0.5,17.5,0.0,0,0,2.9,2.9,0.17,1.1,1.1
Iván Ramis,Eibar,ESP,DF,33.0,19.0,0,17.0,3.0,17.6,0.89,0.16,0.0,0.0,11.8,0.0,0,0,1.3,1.3,0.08,-1.3,-1.3
Pablo de Blasis,Eibar,ARG,"DF,MF",30.0,17.4,2,15.0,9.0,60.0,0.86,0.52,0.13,0.22,19.4,0.0,0,0,0.9,0.9,0.07,1.1,1.1
Asier Riesgo,Eibar,ESP,GK,34.0,16.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Kiké,Eibar,ESP,FW,28.0,15.4,3,48.0,19.0,39.6,3.11,1.23,0.06,0.16,13.6,0.0,0,0,5.6,5.6,0.13,-2.6,-2.6
Sergio Álvarez,Eibar,ESP,"DF,MF",26.0,13.9,0,3.0,0.0,0.0,0.22,0.0,0.0,,10.2,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2
Marc Cardona,Eibar,ESP,"FW,MF",23.0,8.7,3,22.0,11.0,50.0,2.53,1.26,0.14,0.27,11.4,0.0,0,0,3.4,3.4,0.2,-0.4,-0.4
Pedro Bigas,Eibar,ESP,DF,27.0,8.5,0,9.0,0.0,0.0,1.06,0.0,0.0,,10.2,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
Pere Milla,Eibar,ESP,"MF,FW",25.0,5.3,0,4.0,0.0,0.0,0.76,0.0,0.0,,19.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Pedro León,Eibar,ESP,"MF,FW",31.0,4.7,1,7.0,2.0,28.6,1.48,0.42,0.14,0.5,20.6,0.0,0,0,1.0,1.0,0.14,0.0,0.0
Pablo Hervías,Eibar,ESP,MF,25.0,3.5,0,5.0,1.0,20.0,1.43,0.29,0.0,0.0,30.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Miguel Marí,Eibar,ESP,MF,21.0,0.8,0,1.0,0.0,0.0,1.3,0.0,0.0,,28.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Iván Cuéllar,Leganes,ESP,GK,34.0,35.9,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Dimitris Siovas,Leganes,GRE,DF,29.0,35.9,1,27.0,4.0,14.8,0.75,0.11,0.04,0.25,14.5,0.0,0,0,1.9,1.9,0.09,-0.9,-0.9
Jonathan Silva,Leganes,ARG,"DF,FW",24.0,31.7,3,23.0,8.0,34.8,0.73,0.25,0.13,0.38,18.2,0.0,0,0,1.6,1.6,0.07,1.4,1.4
Kenneth Omeruo,Leganes,NGA,DF,24.0,30.0,0,4.0,1.0,25.0,0.13,0.03,0.0,0.0,16.5,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Rubén Pérez,Leganes,ESP,MF,29.0,28.5,0,11.0,3.0,27.3,0.39,0.11,0.0,0.0,27.0,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Óscar Rodríguez Arnaiz,Leganes,ESP,MF,20.0,28.1,4,63.0,23.0,36.5,2.24,0.82,0.06,0.17,24.0,11.0,0,0,4.0,4.0,0.06,0.0,0.0
Unai Bustinza,Leganes,ESP,DF,26.0,25.2,0,8.0,2.0,25.0,0.32,0.08,0.0,0.0,18.6,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Youssef En-Nesyri,Leganes,MAR,FW,21.0,24.7,11,80.0,27.0,33.8,3.24,1.1,0.14,0.41,15.1,0.0,0,0,7.1,7.1,0.1,1.9,1.9
Mikel Vesga,Leganes,ESP,MF,25.0,24.2,1,15.0,4.0,26.7,0.62,0.17,0.07,0.25,17.2,0.0,0,0,0.8,0.8,0.06,0.2,0.2
Guido Carrillo,Leganes,ARG,FW,27.0,22.3,6,58.0,19.0,32.8,2.6,0.85,0.09,0.26,12.1,0.0,1,3,9.1,6.7,0.12,-3.1,-1.7
Allan Nyom,Leganes,CMR,"DF,FW",30.0,20.0,1,5.0,3.0,60.0,0.25,0.15,0.2,0.33,19.3,0.0,0,0,0.3,0.3,0.05,0.7,0.7
Juanfran,Leganes,ESP,"DF,FW",29.0,19.1,1,11.0,3.0,27.3,0.58,0.16,0.09,0.33,19.6,0.0,0,0,0.4,0.4,0.04,0.6,0.6
Rodrigo Tarín,Leganes,ESP,DF,22.0,17.9,0,4.0,0.0,0.0,0.22,0.0,0.0,,10.0,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Martin Braithwaite,Leganes,DEN,FW,27.0,17.6,5,41.0,14.0,34.1,2.33,0.8,0.12,0.36,12.2,0.0,0,0,5.1,5.1,0.19,-1.1,-1.1
Gerard Gumbau,Leganes,ESP,MF,23.0,16.5,1,20.0,5.0,25.0,1.21,0.3,0.0,0.0,25.3,3.0,1,1,2.0,1.2,0.07,-1.0,-1.2
Recio,Leganes,ESP,MF,27.0,16.3,0,12.0,4.0,33.3,0.74,0.25,0.0,0.0,23.9,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Nabil El Zhar,Leganes,MAR,"MF,FW",31.0,13.2,4,29.0,8.0,27.6,2.19,0.6,0.1,0.38,22.6,0.0,1,1,2.9,2.1,0.08,1.1,0.9
Javier Eraso,Leganes,ESP,"MF,FW",28.0,10.0,0,7.0,2.0,28.6,0.7,0.2,0.0,0.0,17.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Michael Santos,Leganes,URU,"FW,MF",25.0,6.2,1,18.0,5.0,27.8,2.91,0.81,0.06,0.2,12.6,0.0,0,0,2.1,2.1,0.12,-1.1,-1.1
Vasyl Kravets,Leganes,UKR,"DF,FW",20.0,6.2,0,4.0,2.0,50.0,0.65,0.32,0.0,0.0,24.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Sabin Merino,Leganes,ESP,"FW,MF",26.0,6.2,0,20.0,7.0,35.0,3.25,1.14,0.0,0.0,12.1,0.0,0,0,1.5,1.5,0.13,-1.5,-1.5
Andriy Lunin,Leganes,UKR,GK,19.0,6.1,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Raúl García,Leganes,ESP,DF,29.0,5.2,0,2.0,0.0,0.0,0.38,0.0,0.0,,31.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Diego Rolán,Leganes,URU,"MF,FW",25.0,4.1,0,6.0,2.0,33.3,1.45,0.48,0.0,0.0,19.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Diego Reyes,Leganes,MEX,DF,25.0,3.6,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Ezequiel Muñoz,Leganes,ARG,DF,27.0,2.3,0,2.0,0.0,0.0,0.85,0.0,0.0,,10.7,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2
Dani Ojeda,Leganes,ESP,"MF,DF",23.0,2.1,0,2.0,1.0,50.0,0.93,0.47,0.0,0.0,12.1,0.0,0,0,0.4,0.4,0.19,-0.4,-0.4
José Arnaiz,Leganes,ESP,"MF,FW",23.0,1.7,0,3.0,0.0,0.0,1.75,0.0,0.0,,14.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Álvaro González,Villarreal,ESP,DF,28.0,40.9,1,17.0,3.0,17.6,0.42,0.07,0.06,0.33,14.4,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3
Ramiro Funes Mori,Villarreal,ARG,"DF,MF",27.0,39.3,2,33.0,8.0,24.2,0.84,0.2,0.06,0.25,16.3,0.0,0,0,2.7,2.7,0.08,-0.7,-0.7
Pablo Fornals,Villarreal,ESP,"MF,FW",22.0,38.2,5,82.0,27.0,32.9,2.14,0.71,0.06,0.19,19.9,1.0,0,0,5.9,5.9,0.08,-0.9,-0.9
Mario Gaspar,Villarreal,ESP,DF,27.0,37.8,1,30.0,11.0,36.7,0.79,0.29,0.03,0.09,17.2,0.0,0,0,2.1,2.1,0.07,-1.1,-1.1
Santi Cazorla,Villarreal,ESP,"MF,FW",33.0,34.7,7,40.0,10.0,25.0,1.15,0.29,0.08,0.3,23.1,5.0,4,5,6.4,2.5,0.07,-0.4,-0.5
Gerard Moreno,Villarreal,ESP,FW,26.0,34.3,13,99.0,44.0,44.4,2.88,1.28,0.13,0.3,14.6,0.0,0,1,14.9,14.1,0.15,-2.9,-2.1
Víctor Ruiz,Villarreal,ESP,DF,29.0,32.9,0,10.0,1.0,10.0,0.3,0.03,0.0,0.0,11.5,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
Sergio Asenjo,Villarreal,ESP,GK,29.0,32.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Alfonso Pedraza,Villarreal,ESP,"DF,FW",22.0,31.9,4,58.0,20.0,34.5,1.82,0.63,0.07,0.2,16.6,0.0,0,0,4.5,4.5,0.09,-0.5,-0.5
Karl Toko Ekambi,Villarreal,CMR,"FW,MF",25.0,30.5,18,94.0,50.0,53.2,3.08,1.64,0.19,0.36,14.1,0.0,0,1,15.5,14.9,0.18,-2.5,-1.9
Samuel Chukwueze,Villarreal,NGA,"MF,FW",19.0,26.7,8,86.0,35.0,40.7,3.22,1.31,0.09,0.23,18.9,0.0,0,0,6.3,6.3,0.08,-0.3,-0.3
Santiago Cáseres,Villarreal,ARG,MF,21.0,25.6,0,10.0,3.0,30.0,0.39,0.12,0.0,0.0,17.3,0.0,0,0,1.1,1.1,0.13,-1.1,-1.1
Manu Trigueros,Villarreal,ESP,MF,26.0,24.5,0,28.0,3.0,10.7,1.14,0.12,0.0,0.0,26.1,2.0,0,0,1.3,1.3,0.05,-1.3,-1.3
Jaume Costa,Villarreal,ESP,DF,30.0,24.4,1,17.0,2.0,11.8,0.7,0.08,0.06,0.5,21.6,1.0,0,0,0.9,0.9,0.06,0.1,0.1
Andrés Fernández,Villarreal,ESP,GK,31.0,22.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Vicente Iborra,Villarreal,ESP,MF,30.0,21.7,4,24.0,9.0,37.5,1.11,0.41,0.17,0.44,13.4,0.0,0,0,3.3,3.3,0.14,0.7,0.7
Carlos Bacca,Villarreal,COL,FW,31.0,21.1,11,49.0,23.0,46.9,2.32,1.09,0.18,0.39,16.2,1.0,2,2,5.3,4.5,0.12,2.7,2.5
Miguel Juan Llambrich,Villarreal,ESP,"DF,FW",22.0,11.6,0,5.0,2.0,40.0,0.43,0.17,0.0,0.0,16.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Miguel Layún,Villarreal,MEX,"MF,DF",30.0,11.5,0,20.0,5.0,25.0,1.75,0.44,0.0,0.0,23.7,2.0,0,0,0.6,0.5,0.03,-0.6,-0.5
Manu Morlanes,Villarreal,ESP,MF,19.0,11.3,1,11.0,2.0,18.2,0.98,0.18,0.09,0.5,26.9,0.0,0,0,0.4,0.4,0.03,0.6,0.6
Xavi Quintillà,Villarreal,ESP,DF,21.0,9.0,0,3.0,0.0,0.0,0.33,0.0,0.0,,16.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Dani Raba,Villarreal,ESP,"MF,FW",22.0,8.4,2,13.0,5.0,38.5,1.54,0.59,0.15,0.4,19.2,0.0,0,0,0.3,0.3,0.05,0.7,0.7
Daniele Bonera,Villarreal,ITA,DF,37.0,8.1,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Javi Fuego,Villarreal,ESP,MF,34.0,7.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Nicola Sansone,Villarreal,ITA,"FW,MF",26.0,3.9,1,9.0,5.0,55.6,2.28,1.27,0.11,0.2,20.8,0.0,0,0,0.6,0.6,0.1,0.4,0.4
Manuel Iturra,Villarreal,CHI,MF,34.0,1.8,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Andrei Ratiu,Villarreal,ROU,DF,20.0,1.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
José Campaña,Levante,ESP,MF,25.0,37.6,4,25.0,9.0,36.0,0.66,0.24,0.16,0.44,23.3,3.0,0,0,1.8,1.8,0.08,2.2,2.2
José Luis Morales,Levante,ESP,"FW,MF",31.0,35.8,12,61.0,28.0,45.9,1.7,0.78,0.15,0.32,15.5,0.0,3,5,13.6,9.7,0.16,-1.6,-0.7
Rober,Levante,ESP,DF,23.0,34.7,1,10.0,2.0,20.0,0.29,0.06,0.1,0.5,8.9,0.0,0,0,0.9,0.9,0.11,0.1,0.1
Enis Bardhi,Levante,MKD,MF,23.0,32.6,3,68.0,18.0,26.5,2.09,0.55,0.04,0.17,24.5,21.0,0,0,3.6,3.6,0.06,-0.6,-0.6
Jason,Levante,ESP,"DF,FW",24.0,26.8,2,33.0,9.0,27.3,1.23,0.34,0.06,0.22,20.6,3.0,0,0,3.2,3.2,0.1,-1.2,-1.2
Coke,Levante,ESP,DF,31.0,23.2,5,15.0,8.0,53.3,0.65,0.34,0.33,0.63,11.2,0.0,0,0,1.9,1.9,0.16,2.1,2.1
Borja Mayoral,Levante,ESP,FW,21.0,21.7,5,37.0,21.0,56.8,1.71,0.97,0.14,0.24,11.1,0.0,0,0,4.7,4.7,0.2,-1.7,-1.7
Erick Cabaco,Levante,URU,DF,23.0,21.1,3,12.0,4.0,33.3,0.57,0.19,0.25,0.75,10.8,0.0,0,0,1.5,1.5,0.15,0.5,0.5
Oier Olazábal,Levante,ESP,GK,28.0,21.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Roger Martí,Levante,ESP,FW,27.0,21.0,13,69.0,28.0,40.6,3.29,1.34,0.16,0.39,16.0,0.0,2,2,12.8,11.3,0.16,0.2,-0.3
Rubén Rochina,Levante,ESP,MF,27.0,21.0,4,49.0,12.0,24.5,2.34,0.57,0.08,0.33,26.4,4.0,0,0,2.4,2.4,0.05,1.6,1.6
Aitor Fernández,Levante,ESP,GK,27.0,20.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Toño,Levante,ESP,"DF,FW",28.0,19.6,1,14.0,4.0,28.6,0.71,0.2,0.07,0.25,25.2,1.0,0,0,1.3,1.3,0.09,-0.3,-0.3
Sergio Postigo,Levante,ESP,DF,29.0,17.9,1,7.0,2.0,28.6,0.39,0.11,0.14,0.5,10.6,0.0,0,0,0.9,0.9,0.15,0.1,0.1
Antonio Luna,Levante,ESP,"DF,FW",27.0,16.0,0,4.0,1.0,25.0,0.25,0.06,0.0,0.0,18.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Chema,Levante,ESP,DF,26.0,15.7,2,6.0,2.0,33.3,0.38,0.13,0.33,1.0,18.7,0.0,0,0,0.6,0.6,0.12,1.4,1.4
Rúben Vezo,Levante,POR,DF,24.0,14.9,2,7.0,3.0,42.9,0.47,0.2,0.29,0.67,11.7,0.0,0,0,0.7,0.7,0.1,1.3,1.3
Moses Simon,Levante,NGA,"DF,MF",23.0,12.5,1,19.0,6.0,31.6,1.52,0.48,0.05,0.17,18.3,0.0,0,0,1.3,1.3,0.09,-0.3,-0.3
Emmanuel Boateng,Levante,GHA,FW,22.0,10.2,1,26.0,5.0,19.2,2.56,0.49,0.04,0.2,14.5,0.0,0,0,1.2,1.2,0.06,-0.2,-0.2
Sanjin Prcić,Levante,BIH,MF,24.0,9.9,0,11.0,2.0,18.2,1.11,0.2,0.0,0.0,28.2,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Nikola Vukčević,Levante,MNE,MF,26.0,8.2,0,1.0,0.0,0.0,0.12,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0
Pedro López Muñoz,Levante,ESP,DF,34.0,6.2,0,2.0,1.0,50.0,0.32,0.16,0.0,0.0,20.6,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Cheick Doukouré,Levante,CIV,MF,25.0,5.0,0,5.0,4.0,80.0,1.01,0.81,0.0,0.0,21.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Raphael Dwamena,Levante,GHA,FW,22.0,4.8,1,11.0,4.0,36.4,2.29,0.83,0.09,0.25,13.8,0.0,0,0,0.7,0.7,0.17,-0.7,-0.7
Fran Manzanara,Levante,ESP,"DF,MF",21.0,1.7,0,1.0,0.0,0.0,0.57,0.0,0.0,,3.0,0.0,0,0,0.6,0.6,0.63,-0.6,-0.6
Nacho,Valladolid,ESP,DF,29.0,36.0,1,17.0,5.0,29.4,0.47,0.14,0.06,0.2,23.2,0.0,0,0,0.6,0.6,0.03,0.4,0.4
Jordi Masip,Valladolid,ESP,GK,29.0,35.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Fernando Calero,Valladolid,ESP,DF,22.0,34.8,1,10.0,2.0,20.0,0.29,0.06,0.1,0.5,10.6,0.0,0,0,0.8,0.8,0.08,0.2,0.2
Kiko Olivas,Valladolid,ESP,DF,29.0,34.4,0,6.0,1.0,16.7,0.17,0.03,0.0,0.0,8.8,0.0,0,0,1.3,1.3,0.21,-1.3,-1.3
Rubén Alcaraz,Valladolid,ESP,MF,27.0,34.1,3,52.0,12.0,23.1,1.53,0.35,0.06,0.25,25.9,11.0,0,2,3.5,2.7,0.05,-0.5,0.3
Óscar Plano,Valladolid,ESP,"MF,FW",27.0,32.2,4,54.0,16.0,29.6,1.68,0.5,0.07,0.25,18.8,1.0,0,0,4.2,4.2,0.09,-1.2,-1.2
Míchel,Valladolid,ESP,MF,30.0,28.4,1,20.0,4.0,20.0,0.71,0.14,0.05,0.25,28.0,2.0,0,1,1.5,0.7,0.03,-0.5,0.3
Javi Moyano,Valladolid,ESP,DF,32.0,24.3,0,6.0,2.0,33.3,0.25,0.08,0.0,0.0,16.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Enes Ünal,Valladolid,TUR,FW,21.0,24.1,6,51.0,13.0,25.5,2.11,0.54,0.06,0.23,16.2,1.0,3,3,7.9,5.6,0.11,-1.9,-2.6
Antoñito,Valladolid,ESP,"DF,MF",30.0,22.7,2,8.0,2.0,25.0,0.35,0.09,0.25,1.0,16.3,0.0,0,0,1.0,1.0,0.12,1.0,1.0
Toni Villa,Valladolid,ESP,"MF,FW",23.0,19.6,2,35.0,14.0,40.0,1.79,0.72,0.06,0.14,23.4,1.0,0,0,1.9,1.9,0.06,0.1,0.1
Keko,Valladolid,ESP,"MF,FW",26.0,18.8,2,21.0,10.0,47.6,1.12,0.53,0.1,0.2,14.9,0.0,0,0,3.4,3.4,0.16,-1.4,-1.4
Sergi Guardiola,Valladolid,ESP,FW,27.0,16.8,3,45.0,15.0,33.3,2.68,0.89,0.07,0.2,16.2,0.0,0,1,5.4,4.6,0.1,-2.4,-1.6
Anuar,Valladolid,MAR,"MF,FW",23.0,16.0,1,15.0,5.0,33.3,0.94,0.31,0.07,0.2,12.4,0.0,0,0,2.7,2.7,0.27,-1.7,-1.7
Joaquín Fernández,Valladolid,ESP,"DF,MF",22.0,13.3,1,7.0,2.0,28.6,0.53,0.15,0.14,0.5,11.5,0.0,0,0,0.7,0.7,0.09,0.3,0.3
Borja Fernández,Valladolid,ESP,"MF,DF",37.0,12.3,0,6.0,1.0,16.7,0.49,0.08,0.0,0.0,18.6,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Duje Čop,Valladolid,CRO,FW,28.0,10.4,0,20.0,5.0,25.0,1.93,0.48,0.0,0.0,12.4,0.0,0,1,2.2,2.2,0.14,-2.2,-2.2
Daniele Verde,Valladolid,ITA,"MF,FW",22.0,10.1,6,36.0,16.0,44.4,3.56,1.58,0.14,0.31,26.6,6.0,1,1,1.6,0.8,0.04,0.4,0.2
Leonardo Suárez,Valladolid,ARG,"FW,MF",22.0,7.9,2,12.0,3.0,25.0,1.51,0.38,0.17,0.67,19.0,0.0,0,0,1.3,1.3,0.13,0.7,0.7
Yoel,Valladolid,ESP,GK,29.0,7.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Moisés Delgado,Valladolid,ESP,DF,24.0,6.0,0,2.0,0.0,0.0,0.33,0.0,0.0,,32.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Waldo Rubio,Valladolid,ESP,MF,22.0,5.5,1,12.0,7.0,58.3,2.2,1.28,0.08,0.14,20.1,0.0,0,0,1.0,1.0,0.08,0.0,0.0
Ivi,Valladolid,ESP,"MF,FW",24.0,2.0,0,4.0,1.0,25.0,1.98,0.49,0.0,0.0,28.8,1.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Luismi,Valladolid,ESP,"DF,MF",26.0,2.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Mohammed Salisu,Valladolid,GHA,DF,19.0,2.0,0,1.0,0.0,0.0,0.5,0.0,0.0,,,,0,0,,,,,
Pablo Hervías,Valladolid,ESP,MF,25.0,1.8,0,3.0,1.0,33.3,1.69,0.56,0.0,0.0,25.0,1.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Miguel,Valladolid,ESP,FW,18.0,1.1,0,4.0,1.0,25.0,3.53,0.88,0.0,0.0,10.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Javier Aparicio,Valladolid,ESP,DF,18.0,0.9,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Kuki,Valladolid,ESP,MF,20.0,0.8,0,1.0,0.0,0.0,1.22,0.0,0.0,,,,0,0,,,,,
Chris Ramos,Valladolid,ESP,FW,21.0,0.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Stiven Plaza,Valladolid,ECU,"FW,MF",19.0,0.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Alberto Guitián,Valladolid,ESP,DF,28.0,0.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Hugo Mallo,Celta Vigo,ESP,DF,27.0,34.4,1,24.0,8.0,33.3,0.7,0.23,0.04,0.13,19.8,0.0,0,0,1.8,1.8,0.07,-0.8,-0.8
Maxi Gómez,Celta Vigo,URU,FW,21.0,33.3,13,82.0,27.0,32.9,2.47,0.81,0.15,0.44,16.1,7.0,1,1,12.5,11.7,0.14,0.5,0.3
Néstor Araujo,Celta Vigo,MEX,DF,26.0,30.8,3,12.0,7.0,58.3,0.39,0.23,0.25,0.43,10.6,0.0,0,0,1.3,1.3,0.1,1.7,1.7
Stanislav Lobotka,Celta Vigo,SVK,MF,23.0,28.5,0,11.0,2.0,18.2,0.39,0.07,0.0,0.0,21.8,0.0,0,0,0.9,0.9,0.08,-0.9,-0.9
Brais Méndez,Celta Vigo,ESP,"MF,FW",21.0,26.6,6,73.0,27.0,37.0,2.74,1.02,0.07,0.19,20.2,2.0,1,1,5.5,4.7,0.07,0.5,0.3
Iago Aspas,Celta Vigo,ESP,"FW,MF",30.0,26.2,21,68.0,28.0,41.2,2.59,1.07,0.24,0.57,17.2,10.0,5,5,11.9,7.9,0.12,8.1,7.1
Okay Yokuşlu,Celta Vigo,TUR,MF,24.0,26.0,2,20.0,6.0,30.0,0.77,0.23,0.1,0.33,16.4,0.0,0,0,1.7,1.7,0.1,0.3,0.3
Rubén Blanco,Celta Vigo,ESP,GK,23.0,26.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Sofiane Boufal,Celta Vigo,MAR,"MF,FW",24.0,23.2,3,51.0,16.0,31.4,2.2,0.69,0.06,0.19,18.6,1.0,0,0,3.4,3.4,0.07,-0.4,-0.4
Gustavo Cabral,Celta Vigo,ARG,DF,32.0,22.1,0,17.0,2.0,11.8,0.77,0.09,0.0,0.0,10.9,0.0,0,0,1.6,1.6,0.1,-1.6,-1.6
David Juncà,Celta Vigo,ESP,DF,24.0,19.5,0,6.0,1.0,16.7,0.31,0.05,0.0,0.0,14.3,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5
Fran Beltrán,Celta Vigo,ESP,MF,19.0,18.1,1,18.0,3.0,16.7,1.0,0.17,0.06,0.33,22.7,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2
David Costas,Celta Vigo,ESP,DF,23.0,14.0,0,2.0,1.0,50.0,0.14,0.07,0.0,0.0,9.8,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Sergio Álvarez,Celta Vigo,ESP,GK,31.0,14.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Jozabed,Celta Vigo,ESP,MF,27.0,13.2,0,11.0,3.0,27.3,0.83,0.23,0.0,0.0,21.6,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
Facundo Roncaglia,Celta Vigo,ARG,DF,31.0,12.9,0,1.0,0.0,0.0,0.08,0.0,0.0,,15.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Pione Sisto,Celta Vigo,DEN,"FW,MF",23.0,10.9,2,25.0,9.0,36.0,2.3,0.83,0.08,0.22,22.7,2.0,0,0,0.9,0.9,0.05,1.1,1.1
Lucas Olaza,Celta Vigo,URU,DF,24.0,10.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Wesley Hoedt,Celta Vigo,NED,DF,24.0,9.9,0,4.0,1.0,25.0,0.4,0.1,0.0,0.0,15.8,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Ryad Boudebouz,Celta Vigo,ALG,"MF,FW",28.0,8.0,1,11.0,5.0,45.5,1.38,0.63,0.09,0.2,17.4,0.0,0,0,1.5,1.5,0.14,-0.5,-0.5
Júnior Alonso,Celta Vigo,PAR,"DF,MF",25.0,8.0,0,5.0,2.0,40.0,0.63,0.25,0.0,0.0,15.4,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4
Andrew Hjulsager,Celta Vigo,DEN,"MF,FW",23.0,5.8,0,5.0,2.0,40.0,0.87,0.35,0.0,0.0,20.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Emre Mor,Celta Vigo,TUR,"FW,MF",21.0,5.2,0,9.0,5.0,55.6,1.72,0.96,0.0,0.0,21.3,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7
Kevin Vázquez,Celta Vigo,ESP,DF,25.0,4.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Dennis Eckert,Celta Vigo,GER,FW,21.0,2.9,0,8.0,3.0,37.5,2.76,1.03,0.0,0.0,14.6,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7
Mathias Jensen,Celta Vigo,DEN,"MF,FW",22.0,2.6,0,4.0,1.0,25.0,1.53,0.38,0.0,0.0,20.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
