Player,Club,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Érik Lamela,Tottenham Hotspur,ARG,"FW,MF",26.0,18.0,66.0,4.54,40.0,12.0,6.0,4.0,4.0,0.0,8.0,0.55,6.0,1.0,0.0,0.0,1.0,0.0
Serge Aurier,Tottenham Hotspur,CIV,DF,25.0,15.8,21.0,1.89,14.0,1.0,3.0,0.0,1.0,2.0,4.0,0.36,4.0,0.0,0.0,0.0,0.0,0.0
Fernando Llorente,Tottenham Hotspur,ESP,FW,33.0,14.4,33.0,3.18,27.0,0.0,3.0,3.0,0.0,0.0,3.0,0.29,3.0,0.0,0.0,0.0,0.0,0.0
Juan Foyth,Tottenham Hotspur,ARG,DF,20.0,14.0,11.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0
Paulo Gazzaniga,Tottenham Hotspur,ARG,GK,26.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Wanyama,Tottenham Hotspur,KEN,MF,27.0,11.0,10.0,1.11,6.0,0.0,2.0,0.0,2.0,0.0,2.0,0.22,0.0,0.0,2.0,0.0,0.0,0.0
Mousa Dembélé,Tottenham Hotspur,BEL,MF,31.0,8.2,10.0,1.33,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Walker-Peters,Tottenham Hotspur,ENG,DF,21.0,7.8,12.0,2.48,11.0,1.0,0.0,0.0,0.0,0.0,4.0,0.83,4.0,0.0,0.0,0.0,0.0,0.0
Oliver Skipp,Tottenham Hotspur,ENG,MF,17.0,4.5,2.0,0.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michel Vorm,Tottenham Hotspur,NED,GK,34.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
