Player,Club,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Marc Roca,Espanyol,ESP,MF,21.0,38.8,70.0,2.02,64.0,1.0,0.0,3.0,0.0,2.0,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0
Borja Iglesias,Espanyol,ESP,FW,25.0,38.8,82.0,2.4,52.0,0.0,8.0,12.0,10.0,0.0,11.0,0.32,6.0,0.0,1.0,4.0,0.0,0.0
Diego López,Espanyol,ESP,GK,36.0,38.0,4.0,0.11,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Darder,Espanyol,ESP,MF,24.0,34.6,86.0,2.86,61.0,9.0,5.0,7.0,3.0,1.0,4.0,0.13,2.0,1.0,0.0,1.0,0.0,0.0
Mario Hermoso,Espanyol,ESP,DF,23.0,34.5,21.0,0.67,14.0,0.0,1.0,5.0,0.0,1.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0
Dídac Vilà,Espanyol,ESP,DF,29.0,27.6,41.0,1.57,33.0,3.0,0.0,3.0,2.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0
Óscar Melendo,Espanyol,ESP,"MF,FW",20.0,26.0,70.0,3.15,58.0,3.0,2.0,1.0,5.0,1.0,7.0,0.32,5.0,0.0,0.0,0.0,1.0,1.0
Roberto Rosales,Espanyol,VEN,DF,29.0,24.8,40.0,2.06,26.0,6.0,2.0,3.0,0.0,3.0,4.0,0.21,4.0,0.0,0.0,0.0,0.0,0.0
Javi López,Espanyol,ESP,DF,32.0,24.0,38.0,1.76,36.0,1.0,0.0,1.0,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0
Esteban Granero,Espanyol,ESP,MF,31.0,23.7,79.0,3.53,46.0,23.0,2.0,3.0,3.0,2.0,6.0,0.27,3.0,2.0,0.0,0.0,0.0,1.0
David López,Espanyol,ESP,DF,28.0,23.1,21.0,1.04,18.0,0.0,1.0,1.0,1.0,0.0,3.0,0.15,1.0,0.0,0.0,1.0,1.0,0.0
Léo Baptistão,Espanyol,BRA,"FW,MF",25.0,17.3,40.0,2.92,26.0,0.0,4.0,6.0,2.0,2.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0
Sergio García,Espanyol,ESP,"FW,MF",35.0,17.2,61.0,3.7,45.0,4.0,4.0,5.0,2.0,1.0,6.0,0.36,3.0,0.0,1.0,2.0,0.0,0.0
Naldo,Espanyol,BRA,DF,29.0,16.8,4.0,0.26,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0
Víctor Sánchez,Espanyol,ESP,MF,30.0,16.4,24.0,1.71,20.0,2.0,0.0,0.0,1.0,1.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
Pablo Piatti,Espanyol,ARG,"FW,MF",29.0,13.8,31.0,3.76,18.0,3.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrià Pedrosa,Espanyol,ESP,DF,20.0,12.0,12.0,1.42,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wu Lei,Espanyol,CHN,"FW,MF",26.0,11.8,23.0,1.95,14.0,0.0,2.0,4.0,1.0,2.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0
Hernán Pérez,Espanyol,PAR,"FW,MF",29.0,9.9,27.0,3.05,19.0,0.0,4.0,2.0,1.0,1.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0
Óscar Duarte,Espanyol,CRC,"DF,MF",29.0,9.3,6.0,0.82,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lluis López,Espanyol,ESP,DF,21.0,8.6,2.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javi Puado,Espanyol,ESP,"FW,MF",20.0,6.7,11.0,2.77,6.0,0.0,2.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0
Roberto,Espanyol,ESP,GK,32.0,6.3,,,,,,,,,,,,,,,,
Álex López,Espanyol,ESP,MF,21.0,4.3,4.0,3.21,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuri Berchiche,Athletic Club,ESP,"DF,FW",28.0,36.7,49.0,1.41,35.0,3.0,0.0,3.0,7.0,1.0,6.0,0.17,6.0,0.0,0.0,0.0,0.0,0.0
Iñaki Williams,Athletic Club,GHA,FW,24.0,35.2,76.0,2.26,41.0,1.0,16.0,8.0,8.0,2.0,10.0,0.3,6.0,0.0,3.0,1.0,0.0,0.0
Iñigo Martínez,Athletic Club,ESP,DF,27.0,34.2,15.0,0.47,10.0,0.0,0.0,1.0,3.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0
Yeray Álvarez,Athletic Club,ESP,DF,23.0,31.0,10.0,0.34,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iago Herrerín,Athletic Club,ESP,GK,30.0,31.0,8.0,0.26,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Óscar de Marcos,Athletic Club,ESP,"DF,FW",29.0,29.4,60.0,2.23,48.0,5.0,2.0,1.0,2.0,2.0,4.0,0.15,3.0,1.0,0.0,0.0,0.0,0.0
Dani García,Athletic Club,ESP,MF,28.0,29.1,23.0,0.84,22.0,0.0,0.0,0.0,0.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0
Iker Muniain,Athletic Club,ESP,"MF,FW",25.0,28.2,80.0,3.02,60.0,3.0,5.0,2.0,10.0,0.0,9.0,0.34,5.0,0.0,0.0,1.0,3.0,0.0
Raúl García,Athletic Club,ESP,"MF,FW",32.0,27.3,61.0,2.32,41.0,0.0,5.0,11.0,3.0,1.0,9.0,0.34,6.0,0.0,0.0,3.0,0.0,0.0
Beñat Etxebarria,Athletic Club,ESP,MF,31.0,24.2,66.0,2.92,36.0,27.0,0.0,3.0,0.0,0.0,3.0,0.13,0.0,3.0,0.0,0.0,0.0,0.0
Mikel San José,Athletic Club,ESP,MF,29.0,22.3,30.0,1.56,27.0,0.0,2.0,1.0,0.0,0.0,3.0,0.16,2.0,0.0,0.0,1.0,0.0,0.0
Ander Capa,Athletic Club,ESP,"DF,FW",26.0,20.0,40.0,2.19,30.0,4.0,2.0,1.0,3.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0
Markel Susaeta,Athletic Club,ESP,"FW,MF",30.0,18.1,66.0,4.31,34.0,20.0,4.0,2.0,6.0,0.0,5.0,0.33,2.0,1.0,0.0,0.0,2.0,0.0
Iñigo Córdoba,Athletic Club,ESP,"FW,MF",21.0,16.5,35.0,2.38,26.0,0.0,5.0,2.0,1.0,1.0,7.0,0.48,6.0,0.0,0.0,0.0,1.0,0.0
Unai Núñez,Athletic Club,ESP,DF,21.0,13.8,5.0,0.42,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aritz Aduriz,Athletic Club,ESP,FW,37.0,12.4,19.0,1.81,14.0,0.0,0.0,3.0,2.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Unai Simón,Athletic Club,ESP,GK,21.0,11.0,1.0,0.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel Balenziaga,Athletic Club,ESP,DF,30.0,7.8,3.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibai Gómez,Athletic Club,ESP,FW,28.0,7.4,26.0,4.03,17.0,9.0,0.0,0.0,0.0,0.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0
Peru Nolaskoain,Athletic Club,ESP,DF,19.0,7.2,4.0,0.77,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unai López,Athletic Club,ESP,MF,22.0,4.4,5.0,1.37,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gorka Guruzeta,Athletic Club,ESP,"MF,FW",21.0,3.4,2.0,3.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Iturraspe,Athletic Club,ESP,MF,29.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel Rico,Athletic Club,ESP,MF,33.0,2.7,2.0,0.74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iñigo Lekue,Athletic Club,ESP,DF,25.0,2.3,3.0,1.28,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0
Mikel Oyarzabal,Real Sociedad,ESP,"FW,MF",21.0,38.8,100.0,2.85,69.0,10.0,10.0,5.0,5.0,1.0,15.0,0.43,8.0,2.0,2.0,1.0,2.0,0.0
Igor Zubeldia,Real Sociedad,ESP,MF,21.0,31.8,17.0,0.6,14.0,0.0,1.0,0.0,0.0,2.0,4.0,0.14,3.0,0.0,1.0,0.0,0.0,0.0
Gerónimo Rulli,Real Sociedad,ARG,GK,26.0,29.0,5.0,0.19,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willian José,Real Sociedad,BRA,FW,26.0,28.6,65.0,2.47,57.0,0.0,1.0,5.0,1.0,1.0,5.0,0.19,4.0,0.0,0.0,1.0,0.0,0.0
Joseba Zaldúa,Real Sociedad,ESP,DF,26.0,26.8,46.0,1.94,36.0,1.0,4.0,0.0,4.0,1.0,5.0,0.21,4.0,0.0,0.0,0.0,0.0,1.0
Aritz Elustondo,Real Sociedad,ESP,DF,24.0,26.2,25.0,1.0,20.0,0.0,1.0,1.0,1.0,2.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0
Theo Hernández,Real Sociedad,FRA,DF,20.0,26.0,48.0,2.19,31.0,4.0,4.0,3.0,3.0,3.0,4.0,0.18,2.0,0.0,0.0,0.0,1.0,1.0
Héctor Moreno,Real Sociedad,MEX,DF,30.0,24.5,13.0,0.61,11.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Mikel Merino,Real Sociedad,ESP,MF,22.0,24.4,43.0,1.88,35.0,0.0,2.0,2.0,4.0,0.0,8.0,0.35,5.0,0.0,1.0,0.0,2.0,0.0
Asier Illarramendi,Real Sociedad,ESP,MF,28.0,22.4,34.0,1.68,22.0,5.0,1.0,4.0,1.0,1.0,3.0,0.15,2.0,1.0,0.0,0.0,0.0,0.0
Diego Llorente,Real Sociedad,ESP,DF,24.0,21.5,9.0,0.46,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juanmi,Real Sociedad,ESP,"FW,MF",25.0,19.2,31.0,1.83,18.0,0.0,3.0,5.0,5.0,0.0,6.0,0.35,3.0,0.0,0.0,2.0,1.0,0.0
Adnan Januzaj,Real Sociedad,BEL,"FW,MF",23.0,16.4,69.0,4.95,33.0,19.0,7.0,4.0,5.0,1.0,7.0,0.5,5.0,0.0,1.0,0.0,1.0,0.0
Rubén Pardo,Real Sociedad,ESP,"MF,FW",25.0,16.0,68.0,4.47,38.0,22.0,2.0,4.0,2.0,0.0,4.0,0.26,1.0,3.0,0.0,0.0,0.0,0.0
David Zurutuza,Real Sociedad,ESP,MF,32.0,15.6,25.0,1.84,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raúl Navas,Real Sociedad,ESP,DF,30.0,14.6,14.0,0.96,11.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Ángel Moyá,Real Sociedad,ESP,GK,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sandro Ramírez,Real Sociedad,ESP,"FW,MF",23.0,12.9,47.0,4.01,29.0,5.0,5.0,3.0,5.0,0.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0
Luca Sangalli,Real Sociedad,ESP,"MF,FW",23.0,12.0,25.0,2.25,14.0,0.0,2.0,1.0,6.0,2.0,3.0,0.27,2.0,0.0,0.0,0.0,1.0,0.0
Aihen Muñoz,Real Sociedad,ESP,DF,20.0,10.6,17.0,1.61,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Bautista,Real Sociedad,ESP,FW,23.0,7.6,8.0,1.21,4.0,0.0,2.0,1.0,1.0,0.0,2.0,0.3,1.0,0.0,0.0,0.0,1.0,0.0
Robin Le Normand,Real Sociedad,ESP,DF,21.0,5.9,3.0,0.95,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0
Kévin Rodrigues,Real Sociedad,POR,DF,24.0,5.4,15.0,2.79,11.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andoni Gorosabel,Real Sociedad,ESP,DF,21.0,5.1,5.0,0.99,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Barrenetxea,Real Sociedad,ESP,"FW,MF",16.0,4.4,15.0,3.39,11.0,0.0,3.0,0.0,0.0,1.0,2.0,0.45,2.0,0.0,0.0,0.0,0.0,0.0
Alex Sola,Real Sociedad,ESP,DF,19.0,1.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ander Guevara,Real Sociedad,ESP,MF,21.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto López,Real Sociedad,ESP,MF,18.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aïssa Mandi,Real Betis,ALG,DF,26.0,47.3,49.0,1.22,48.0,0.0,0.0,0.0,1.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0
Marc Bartra,Real Betis,ESP,DF,27.0,44.0,30.0,0.8,27.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Canales,Real Betis,ESP,MF,27.0,42.3,117.0,3.37,78.0,24.0,8.0,1.0,5.0,1.0,10.0,0.29,7.0,1.0,1.0,0.0,1.0,0.0
William Carvalho,Real Betis,POR,MF,26.0,38.9,76.0,2.28,66.0,0.0,7.0,0.0,2.0,1.0,9.0,0.27,8.0,0.0,1.0,0.0,0.0,0.0
Giovani Lo Celso,Real Betis,ARG,"MF,FW",22.0,38.7,109.0,3.32,82.0,2.0,6.0,6.0,11.0,2.0,19.0,0.58,14.0,0.0,1.0,1.0,2.0,1.0
Pau López,Real Betis,ESP,GK,23.0,35.0,6.0,0.17,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrés Guardado,Real Betis,MEX,"MF,DF",31.0,34.7,81.0,2.72,65.0,7.0,2.0,1.0,6.0,0.0,6.0,0.2,6.0,0.0,0.0,0.0,0.0,0.0
Loren Morón,Real Betis,ESP,FW,24.0,29.9,48.0,1.87,29.0,0.0,3.0,3.0,12.0,1.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0
Sidnei,Real Betis,BRA,DF,28.0,29.6,25.0,0.95,19.0,0.0,2.0,1.0,0.0,3.0,2.0,0.08,0.0,0.0,1.0,1.0,0.0,0.0
Joaquín,Real Betis,ESP,"FW,MF",37.0,28.3,104.0,4.45,73.0,15.0,10.0,2.0,4.0,0.0,9.0,0.38,6.0,1.0,1.0,0.0,1.0,0.0
Cristian Tello,Real Betis,ESP,"DF,FW",26.0,27.0,61.0,2.69,48.0,3.0,4.0,4.0,1.0,1.0,12.0,0.53,8.0,0.0,1.0,2.0,1.0,0.0
Junior Firpo,Real Betis,DOM,"DF,FW",21.0,25.7,45.0,1.81,36.0,0.0,5.0,1.0,2.0,1.0,6.0,0.24,6.0,0.0,0.0,0.0,0.0,0.0
Francis Guerrero,Real Betis,ESP,"DF,FW",22.0,24.7,36.0,1.73,29.0,2.0,0.0,0.0,5.0,0.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0
Zouhair Feddal,Real Betis,MAR,DF,29.0,24.1,19.0,0.91,16.0,0.0,0.0,2.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Joel Robles,Real Betis,ESP,GK,28.0,19.3,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Barragán,Real Betis,ESP,"DF,FW",31.0,18.5,18.0,1.33,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
Antonio Sanabria,Real Betis,PAR,FW,22.0,15.4,19.0,1.48,13.0,0.0,3.0,1.0,2.0,0.0,3.0,0.23,2.0,0.0,0.0,0.0,1.0,0.0
Javi García,Real Betis,ESP,"DF,MF",31.0,13.1,7.0,0.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio León,Real Betis,ESP,"FW,MF",29.0,12.9,16.0,1.5,8.0,0.0,2.0,2.0,3.0,1.0,3.0,0.28,1.0,0.0,1.0,1.0,0.0,0.0
Wilfrid Kaptoum,Real Betis,CMR,MF,22.0,11.7,10.0,1.03,6.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesé,Real Betis,ESP,"FW,MF",25.0,10.8,25.0,2.6,13.0,0.0,7.0,3.0,1.0,1.0,2.0,0.21,1.0,0.0,0.0,1.0,0.0,0.0
Takashi Inui,Real Betis,JPN,MF,30.0,8.2,30.0,4.71,17.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryad Boudebouz,Real Betis,ALG,"MF,FW",28.0,6.9,27.0,4.38,23.0,2.0,2.0,0.0,0.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0
Diego Lainez,Real Betis,MEX,"FW,MF",18.0,5.6,18.0,3.77,12.0,1.0,2.0,0.0,3.0,0.0,2.0,0.42,1.0,0.0,0.0,0.0,1.0,0.0
Emerson,Real Betis,BRA,"FW,DF",19.0,3.5,7.0,1.97,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Laguardia,Alaves,ESP,DF,28.0,36.0,19.0,0.53,12.0,3.0,0.0,2.0,2.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0
Fernando Pacheco,Alaves,ESP,GK,26.0,35.0,10.0,0.29,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jony,Alaves,ESP,"MF,FW",27.0,33.1,137.0,4.15,68.0,49.0,10.0,4.0,4.0,2.0,13.0,0.39,6.0,6.0,1.0,0.0,0.0,0.0
Jonathan Calleri,Alaves,ARG,FW,24.0,32.3,80.0,2.51,53.0,0.0,8.0,7.0,11.0,1.0,4.0,0.13,1.0,0.0,0.0,1.0,2.0,0.0
Rubén Duarte,Alaves,ESP,DF,22.0,30.8,55.0,1.79,38.0,3.0,0.0,6.0,8.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0
Ximo Navarro,Alaves,ESP,DF,28.0,28.1,28.0,0.99,17.0,2.0,4.0,1.0,4.0,0.0,4.0,0.14,3.0,0.0,0.0,0.0,1.0,0.0
Manu García,Alaves,ESP,MF,32.0,26.9,41.0,1.58,28.0,0.0,1.0,3.0,7.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Tomás Pina Isla,Alaves,ESP,MF,30.0,26.0,53.0,2.04,46.0,1.0,1.0,0.0,5.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0
Guillermo Maripán,Alaves,CHI,DF,24.0,24.3,18.0,0.81,11.0,1.0,0.0,5.0,1.0,0.0,5.0,0.22,2.0,1.0,0.0,2.0,0.0,0.0
Martin Agirregabiria,Alaves,ESP,DF,22.0,23.6,22.0,0.97,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Darko Brašanac,Alaves,SRB,MF,26.0,19.6,30.0,1.71,24.0,2.0,1.0,2.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Wakaso,Alaves,GHA,MF,28.0,18.5,29.0,1.56,19.0,2.0,1.0,4.0,2.0,1.0,3.0,0.16,2.0,0.0,0.0,0.0,0.0,1.0
Borja Bastón,Alaves,ESP,FW,25.0,17.8,20.0,1.25,14.0,0.0,2.0,3.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Ibai Gómez,Alaves,ESP,"MF,FW",28.0,16.2,46.0,2.86,24.0,14.0,3.0,3.0,2.0,0.0,4.0,0.25,3.0,0.0,1.0,0.0,0.0,0.0
Rubén Sobrino,Alaves,ESP,"FW,MF",26.0,12.5,22.0,2.05,15.0,0.0,2.0,3.0,2.0,0.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0
Takashi Inui,Alaves,JPN,"MF,FW",30.0,9.2,16.0,1.74,9.0,0.0,2.0,1.0,4.0,0.0,3.0,0.33,2.0,0.0,0.0,0.0,1.0,0.0
Carlos Vigaray,Alaves,ESP,DF,23.0,9.2,11.0,1.53,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.14,0.0,1.0,0.0,0.0,0.0,0.0
John Guidetti,Alaves,SWE,FW,26.0,8.5,14.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.29,2.0,0.0,0.0,0.0,0.0,0.0
Burgui,Alaves,ESP,"MF,FW",24.0,8.2,27.0,4.38,21.0,4.0,0.0,0.0,2.0,0.0,2.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0
Antonio Sivera,Alaves,ESP,GK,21.0,5.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Ely,Alaves,BRA,DF,24.0,4.8,5.0,1.05,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Marín,Alaves,ESP,"DF,MF",21.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Rolán,Alaves,URU,"MF,FW",25.0,3.3,7.0,2.11,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0
Patrick Twumasi,Alaves,GHA,"MF,FW",24.0,2.2,9.0,4.76,4.0,2.0,1.0,2.0,0.0,0.0,3.0,1.59,2.0,0.0,1.0,0.0,0.0,0.0
Adrián Diéguez,Alaves,ESP,"DF,MF",22.0,2.0,,,,,,,,,,,,,,,,
José Ángel,Eibar,ESP,DF,28.0,34.1,92.0,2.73,59.0,25.0,4.0,2.0,1.0,1.0,5.0,0.15,4.0,1.0,0.0,0.0,0.0,0.0
Joan Jordán,Eibar,ESP,MF,24.0,33.4,143.0,4.48,76.0,51.0,5.0,2.0,6.0,3.0,11.0,0.34,5.0,5.0,0.0,0.0,1.0,0.0
Rubén Peña,Eibar,ESP,DF,27.0,30.4,100.0,3.37,72.0,10.0,9.0,3.0,4.0,2.0,6.0,0.2,5.0,0.0,1.0,0.0,0.0,0.0
Fabián Orellana,Eibar,CHI,"MF,FW",32.0,30.4,151.0,4.97,86.0,12.0,22.0,10.0,17.0,4.0,13.0,0.43,8.0,1.0,1.0,0.0,1.0,2.0
Sergi Enrich,Eibar,ESP,FW,28.0,28.7,71.0,2.47,53.0,0.0,4.0,8.0,5.0,1.0,8.0,0.28,3.0,0.0,0.0,3.0,2.0,0.0
Marc Cucurella,Eibar,ESP,"MF,FW",20.0,28.2,68.0,2.6,58.0,0.0,1.0,4.0,1.0,4.0,7.0,0.27,5.0,0.0,1.0,0.0,0.0,1.0
Papakouli Diop,Eibar,SEN,MF,32.0,26.6,59.0,2.26,49.0,0.0,3.0,2.0,5.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0
Paulo Oliveira,Eibar,POR,DF,26.0,25.6,5.0,0.2,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Dmitrović,Eibar,SRB,GK,26.0,24.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaitz Arbilla,Eibar,ESP,DF,31.0,23.6,16.0,0.74,14.0,0.0,0.0,1.0,1.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0
Charles,Eibar,BRA,FW,34.0,20.7,42.0,2.17,32.0,0.0,0.0,2.0,8.0,0.0,5.0,0.26,2.0,0.0,0.0,1.0,2.0,0.0
Gonzalo Escalante,Eibar,ARG,MF,25.0,19.9,38.0,1.91,29.0,0.0,0.0,6.0,3.0,0.0,5.0,0.25,4.0,0.0,0.0,1.0,0.0,0.0
Iván Ramis,Eibar,ESP,DF,33.0,19.0,9.0,0.48,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0
Pablo de Blasis,Eibar,ARG,"DF,MF",30.0,17.4,46.0,2.72,40.0,3.0,1.0,0.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Asier Riesgo,Eibar,ESP,GK,34.0,16.0,3.0,0.21,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiké,Eibar,ESP,FW,28.0,15.4,34.0,2.36,23.0,0.0,2.0,4.0,5.0,0.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0
Sergio Álvarez,Eibar,ESP,"DF,MF",26.0,13.9,5.0,0.42,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Marc Cardona,Eibar,ESP,"FW,MF",23.0,8.7,15.0,2.23,10.0,0.0,3.0,1.0,1.0,0.0,2.0,0.3,1.0,0.0,0.0,1.0,0.0,0.0
Pedro Bigas,Eibar,ESP,DF,27.0,8.5,4.0,0.62,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0
Pere Milla,Eibar,ESP,"MF,FW",25.0,5.3,9.0,2.38,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0
