Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
14,Sadio Mané,Liverpool,0.04,,Off Target,14.0,Head,
23,Sadio Mané,Liverpool,0.07,,Blocked,13.0,Right Foot,
35,Sadio Mané,Liverpool,0.41,,Off Target,14.0,Left Foot,
38,Mohamed Salah,Liverpool,0.06,,Blocked,18.0,Left Foot,
38,James Milner,Liverpool,0.03,,Off Target,30.0,Right Foot,
,,,,,,,,
47,James Milner,Liverpool,0.05,0.38,Saved,18.0,Right Foot,
53,Mohamed Salah,Liverpool,0.04,0.61,Saved,23.0,Left Foot,
59,James Milner,Liverpool,0.29,0.23,Saved,17.0,Right Foot,
67,Sadio Mané,Liverpool,0.06,,Off Target,14.0,Head,
68,Joe Gomez,Liverpool,0.03,,Off Target,28.0,Right Foot,
84,Roberto Firmino,Liverpool,0.07,,Blocked,9.0,Right Foot,
84,Mohamed Salah,Liverpool,0.49,,Woodwork,7.0,Right Foot,
84,Jordan Henderson,Liverpool,0.08,,Off Target,10.0,Head,
90,Jordan Henderson,Liverpool,0.05,,Off Target,14.0,Head,
11,Mohamed Salah,Liverpool,0.05,,Off Target,8.0,Left Foot,
13,Mohamed Salah,Liverpool,0.06,,Blocked,11.0,Right Foot,
13,Virgil van Dijk,Liverpool,0.13,0.07,Goal,7.0,Head,
28,Mohamed Salah,Liverpool,0.08,0.27,Goal,12.0,Right Foot,Volley
32,Sadio Mané,Liverpool,0.34,0.19,Saved,11.0,Right Foot,
34,Daniel Sturridge,Liverpool,0.03,,Off Target,23.0,Left Foot,
37,Andrew Robertson,Liverpool,0.04,,Off Target,18.0,Left Foot,
,,,,,,,,
48,Mohamed Salah,Liverpool,0.05,,Off Target,17.0,Right Foot,
50,Daniel Sturridge,Liverpool,0.07,,Off Target,16.0,Left Foot,
51,Jordan Henderson,Liverpool,0.11,,Off Target,12.0,Right Foot,Volley
86,Divock Origi,Liverpool,0.25,0.82,Goal,6.0,Head,Deflected
1,Xherdan Shaqiri,Liverpool,0.07,,Off Target,13.0,Left Foot,
7,Jordan Henderson,Liverpool,0.43,0.71,Saved,13.0,Left Foot,
7,Divock Origi,Liverpool,0.52,0.73,Goal,7.0,Right Foot,
22,Jordan Henderson,Liverpool,0.07,,Blocked,14.0,Right Foot,Deflected
23,Andrew Robertson,Liverpool,0.04,0.07,Saved,18.0,Left Foot,
43,Andrew Robertson,Liverpool,0.03,,Blocked,29.0,Left Foot,
44,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,22.0,Right Foot,Volley
,,,,,,,,
51,Virgil van Dijk,Liverpool,0.58,0.72,Saved,5.0,Right Foot,
54,Georginio Wijnaldum,Liverpool,0.08,0.09,Goal,14.0,Right Foot,
56,Georginio Wijnaldum,Liverpool,0.07,0.39,Goal,11.0,Head,
76,Trent Alexander-Arnold,Liverpool,0.02,,Off Target,30.0,Right Foot,
79,Divock Origi,Liverpool,0.31,0.91,Goal,9.0,Right Foot,
86,Xherdan Shaqiri,Liverpool,0.26,,Off Target,9.0,Head,
4,Divock Origi,Liverpool,0.05,0.11,Saved,13.0,Right Foot,Volley
17,Sadio Mané,Liverpool,0.52,0.75,Goal,9.0,Right Foot,
20,Mohamed Salah,Liverpool,0.1,,Blocked,15.0,Left Foot,
24,Andrew Robertson,Liverpool,0.03,0.06,Saved,27.0,Left Foot,
34,Mohamed Salah,Liverpool,0.04,,Off Target,18.0,Left Foot,Volley
,,,,,,,,
48,Trent Alexander-Arnold,Liverpool,0.05,,Off Target,29.0,Right Foot,Free kick
63,Divock Origi,Liverpool,0.09,,Off Target,12.0,Right Foot,Volley
73,Mohamed Salah,Liverpool,0.08,,Blocked,13.0,Left Foot,
74,Georginio Wijnaldum,Liverpool,0.3,,Off Target,4.0,Right Foot,Volley
81,Mohamed Salah,Liverpool,0.05,,Blocked,20.0,Left Foot,Volley
81,Sadio Mané,Liverpool,0.2,0.22,Goal,13.0,Head,
83,Virgil van Dijk,Liverpool,0.04,,Woodwork,9.0,Head,
87,Mohamed Salah,Liverpool,0.03,0.51,Saved,23.0,Left Foot,
2,Mohamed Salah (pen),Liverpool,0.79,0.91,Goal,13.0,Left Foot,
17,Trent Alexander-Arnold,Liverpool,0.02,,Off Target,33.0,Right Foot,
21,Mohamed Salah,Liverpool,0.03,,Blocked,27.0,Left Foot,
22,Mohamed Salah,Liverpool,0.04,,Off Target,16.0,Left Foot,
38,Andrew Robertson,Liverpool,0.03,0.06,Saved,24.0,Left Foot,
39,Mohamed Salah,Liverpool,0.03,,Off Target,23.0,Right Foot,Volley
42,Jordan Henderson,Liverpool,0.03,,Blocked,32.0,Right Foot,
42,Mohamed Salah,Liverpool,0.02,,Blocked,28.0,Left Foot,Volley
,,,,,,,,
53,Fabinho,Liverpool,0.03,,Blocked,30.0,Right Foot,
54,Mohamed Salah,Liverpool,0.11,,Blocked,12.0,Left Foot,
69,James Milner,Liverpool,0.05,,Off Target,17.0,Left Foot,
83,Jordan Henderson,Liverpool,0.03,,Off Target,28.0,Right Foot,
87,Virgil van Dijk,Liverpool,0.05,,Blocked,15.0,Right Foot,Volley
87,Divock Origi,Liverpool,0.04,0.58,Goal,15.0,Left Foot,
