Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
72,Roberto Firmino,Liverpool,0.39,,Blocked,7.0,Head,
84,Xherdan Shaqiri,Liverpool,0.06,0.17,Saved,30.0,Left Foot,Free kick
85,Naby Keïta,Liverpool,0.03,,Off Target,24.0,Right Foot,
89,Daniel Sturridge,Liverpool,0.03,0.58,Goal,27.0,Left Foot,
26,Georginio Wijnaldum,Liverpool,0.03,,Off Target,26.0,Right Foot,
38,Mohamed Salah,Liverpool,0.04,,Blocked,23.0,Left Foot,
38,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,26.0,Right Foot,
,,,,,,,,
68,Mohamed Salah,Liverpool,0.03,,Off Target,22.0,Left Foot,
4,Mohamed Salah,Liverpool,0.05,,Off Target,16.0,Left Foot,
12,Dejan Lovren,Liverpool,0.08,,Off Target,9.0,Head,
,,,,,,,,
50,Joe Gomez,Liverpool,0.04,,Blocked,21.0,Left Foot,
62,Mohamed Salah,Liverpool,0.05,0.09,Saved,16.0,Left Foot,
65,Joe Gomez,Liverpool,0.03,,Off Target,26.0,Right Foot,Volley
69,Mohamed Salah,Liverpool,0.04,,Off Target,18.0,Left Foot,
79,Daniel Sturridge,Liverpool,0.07,0.37,Saved,11.0,Head,
17,Xherdan Shaqiri,Liverpool,0.08,,Blocked,17.0,Left Foot,Volley
24,Mohamed Salah,Liverpool,0.07,0.68,Goal,11.0,Right Foot,
26,Xherdan Shaqiri,Liverpool,0.03,,Blocked,26.0,Left Foot,
26,Andrew Robertson,Liverpool,0.03,,Blocked,25.0,Left Foot,
,,,,,,,,
47,Andrew Robertson,Liverpool,0.03,,Blocked,19.0,Left Foot,
47,Daniel Sturridge,Liverpool,0.03,,Off Target,20.0,Right Foot,
49,Daniel Sturridge,Liverpool,0.04,,Off Target,22.0,Left Foot,
60,Mohamed Salah,Liverpool,0.03,,Blocked,27.0,Left Foot,
64,Mohamed Salah,Liverpool,0.09,,Off Target,18.0,Left Foot,
88,Mohamed Salah,Liverpool,0.15,0.08,Saved,5.0,Left Foot,
89,Roberto Firmino,Liverpool,0.06,,Off Target,20.0,Left Foot,
10,Roberto Firmino,Liverpool,0.05,,Blocked,14.0,Right Foot,
11,Mohamed Salah,Liverpool,0.49,0.59,Saved,11.0,Right Foot,
20,Roberto Firmino,Liverpool,0.14,0.11,Goal,12.0,Left Foot,Deflected
25,Mohamed Salah,Liverpool,0.1,,Off Target,14.0,Left Foot,
38,Xherdan Shaqiri,Liverpool,0.03,0.02,Saved,27.0,Left Foot,
43,Andrew Robertson,Liverpool,0.05,,Off Target,16.0,Left Foot,
45,Mohamed Salah,Liverpool,0.3,0.45,Goal,12.0,Right Foot,
,,,,,,,,
48,Fabinho,Liverpool,0.04,,Off Target,25.0,Right Foot,
51,Mohamed Salah (pen),Liverpool,0.79,0.94,Goal,13.0,Left Foot,
54,Trent Alexander-Arnold,Liverpool,0.47,0.68,Saved,11.0,Left Foot,Volley
56,Xherdan Shaqiri,Liverpool,0.05,,Blocked,31.0,Left Foot,Free kick
63,Roberto Firmino,Liverpool,0.03,0.08,Saved,31.0,Right Foot,
68,Virgil van Dijk,Liverpool,0.05,,Blocked,9.0,Head,
76,Sadio Mané (pen),Liverpool,0.79,0.99,Saved,13.0,Right Foot,
76,Sadio Mané,Liverpool,0.66,,Off Target,5.0,Right Foot,
80,Sadio Mané,Liverpool,0.5,0.93,Goal,10.0,Right Foot,
81,Adam Lallana,Liverpool,0.53,0.75,Saved,17.0,Right Foot,
90,Daniel Sturridge,Liverpool,0.03,,Saved off Target,32.0,Left Foot,
90,Alberto Moreno,Liverpool,0.02,,Off Target,29.0,Left Foot,Volley
90,Sadio Mané,Liverpool,0.4,,Off Target,15.0,Left Foot,
90,Daniel Sturridge,Liverpool,0.03,0.15,Saved,24.0,Left Foot,
10,Sadio Mané,Liverpool,0.08,,Blocked,14.0,Left Foot,
10,Georginio Wijnaldum,Liverpool,0.46,,Blocked,9.0,Right Foot,
10,Mohamed Salah,Liverpool,0.46,0.74,Goal,5.0,Left Foot,Deflected
13,Virgil van Dijk,Liverpool,0.1,,Woodwork,7.0,Head,
15,Trent Alexander-Arnold,Liverpool,0.01,,Blocked,51.0,Right Foot,
18,Mohamed Salah,Liverpool,0.06,,Blocked,21.0,Left Foot,
25,Trent Alexander-Arnold,Liverpool,0.04,,Off Target,22.0,Left Foot,
30,Alberto Moreno,Liverpool,0.03,,Off Target,29.0,Left Foot,
35,Adam Lallana,Liverpool,0.03,,Blocked,32.0,Left Foot,
41,Virgil van Dijk,Liverpool,0.09,,Off Target,9.0,Right Foot,Volley
42,Roberto Firmino,Liverpool,0.03,,Off Target,26.0,Right Foot,
45,Adam Lallana,Liverpool,0.06,,Blocked,9.0,Head,
,,,,,,,,
66,Sadio Mané,Liverpool,0.08,0.53,Goal,13.0,Left Foot,
79,James Milner,Liverpool,0.04,,Blocked,20.0,Right Foot,
79,Trent Alexander-Arnold,Liverpool,0.03,0.04,Saved,28.0,Right Foot,Deflected
82,Mohamed Salah,Liverpool,0.06,0.7,Saved,28.0,Right Foot,
84,Xherdan Shaqiri,Liverpool,0.53,0.95,Goal,11.0,Left Foot,
87,Sadio Mané,Liverpool,0.54,0.71,Goal,15.0,Right Foot,
90,Mohamed Salah,Liverpool,0.01,,Off Target,62.0,Left Foot,
9,Georginio Wijnaldum,Liverpool,0.06,,Off Target,17.0,Right Foot,
13,Roberto Firmino,Liverpool,0.03,,Blocked,30.0,Left Foot,
18,Roberto Firmino,Liverpool,0.33,,Woodwork,13.0,Right Foot,
23,Virgil van Dijk,Liverpool,0.48,0.36,Saved,9.0,Right Foot,Volley
24,Mohamed Salah,Liverpool,0.03,,Blocked,22.0,Left Foot,
24,Andrew Robertson,Liverpool,0.04,0.06,Saved,17.0,Left Foot,
45,Virgil van Dijk,Liverpool,0.05,,Woodwork,15.0,Head,
,,,,,,,,
50,Mohamed Salah,Liverpool,0.05,,Blocked,18.0,Left Foot,
61,James Milner,Liverpool,0.06,0.16,Goal,17.0,Right Foot,
69,Roberto Firmino,Liverpool,0.05,,Off Target,11.0,Head,
74,Virgil van Dijk,Liverpool,0.05,0.05,Saved,11.0,Head,
83,Sadio Mané,Liverpool,0.06,,Blocked,22.0,Right Foot,
84,Mohamed Salah,Liverpool,0.02,,Off Target,24.0,Left Foot,
8,James Milner,Liverpool,0.06,,Off Target,19.0,Right Foot,Volley
12,Trent Alexander-Arnold,Liverpool,0.04,,Off Target,18.0,Right Foot,Volley
17,Andrew Robertson,Liverpool,0.12,,Off Target,8.0,Left Foot,
17,Daniel Sturridge,Liverpool,0.55,,Off Target,7.0,Left Foot,
20,Daniel Sturridge,Liverpool,0.07,,Blocked,13.0,Right Foot,
24,Mohamed Salah,Liverpool,0.05,,Blocked,18.0,Left Foot,
30,Mohamed Salah,Liverpool,0.03,,Off Target,20.0,Left Foot,Volley
32,Georginio Wijnaldum,Liverpool,0.05,,Blocked,11.0,Head,
33,Adam Lallana,Liverpool,0.04,,Blocked,14.0,Head,
35,Daniel Sturridge,Liverpool,0.07,,Off Target,18.0,Right Foot,
,,,,,,,,
48,Sadio Mané,Liverpool,0.34,,Blocked,4.0,Right Foot,
49,Adam Lallana,Liverpool,0.07,,Blocked,15.0,Left Foot,
71,Mohamed Salah,Liverpool,0.03,0.21,Saved,25.0,Left Foot,Deflected
71,Mohamed Salah,Liverpool,0.05,,Woodwork,15.0,Left Foot,Volley
74,Joël Matip,Liverpool,0.07,,Off Target,8.0,Head,
79,Mohamed Salah,Liverpool,0.14,,Blocked,10.0,Left Foot,
82,Joël Matip,Liverpool,0.11,,Off Target,7.0,Head,
82,Mohamed Salah,Liverpool,0.11,0.03,Saved,4.0,Left Foot,
85,Virgil van Dijk,Liverpool,0.08,,Off Target,7.0,Head,
