Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Roberto Firmino,9,BRA,FW,27-070,78,0,0,0,0,3,1,0,0,53,1,1,1,0.2,0.2,0.2,3,0,27,38,71.1,5,32,2,1,1
Naby Keïta,8,GUI,RW,23-304,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,0,0,2,3,66.7,0,4,0,0,0
Sadio Mané,10,SEN,LW,26-245,90,0,0,0,0,3,1,1,0,40,3,0,0,1.7,1.7,0.0,3,0,20,26,76.9,2,23,4,2,2
Mohamed Salah,11,EGY,"RW,FW",26-179,90,1,0,0,0,4,2,1,0,62,1,1,1,0.4,0.4,1.3,14,1,32,42,76.2,9,51,7,6,3
James Milner,7,ENG,LM,32-341,84,0,1,0,0,2,0,0,0,67,5,1,1,0.1,0.1,0.3,7,1,46,59,78.0,9,37,1,0,0
Fabinho,3,BRA,CM,25-049,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
Jordan Henderson,14,ENG,"CM,RM",28-177,90,0,0,0,0,3,1,0,0,64,0,1,3,0.1,0.1,0.0,2,0,42,51,82.4,5,39,2,1,0
Georginio Wijnaldum,5,NED,"RM,LM",28-030,90,0,0,0,0,4,0,0,0,63,3,1,1,0.3,0.3,0.0,4,0,33,47,70.2,7,43,3,2,1
Andrew Robertson,26,SCO,LB,24-275,90,0,0,0,0,0,0,1,0,77,2,1,1,0.0,0.0,0.6,2,0,51,67,76.1,6,48,5,2,2
Virgil van Dijk,4,NED,CB,27-156,90,0,0,0,0,2,0,1,0,49,0,0,0,0.4,0.4,0.0,0,0,34,40,85.0,3,31,0,0,0
Joël Matip,32,CMR,CB,27-125,90,0,0,0,0,0,0,0,0,66,0,1,1,0.0,0.0,0.0,1,0,52,61,85.2,2,44,1,0,0
