Date,Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,Venue
2018-10-20,47,Andrew Robertson,Liverpool,0.03,,Blocked,19.0,Left Foot,,Away
2018-10-20,47,Daniel Sturridge,Liverpool,0.03,,Off Target,20.0,Right Foot,,Away
2018-10-20,49,Daniel Sturridge,Liverpool,0.04,,Off Target,22.0,Left Foot,,Away
2018-10-20,60,Mohamed Salah,Liverpool,0.03,,Blocked,27.0,Left Foot,,Away
2018-10-20,64,Mohamed Salah,Liverpool,0.09,,Off Target,18.0,Left Foot,,Away
2018-10-20,88,Mohamed Salah,Liverpool,0.15,0.08,Saved,5.0,Left Foot,,Away
2018-10-20,89,Roberto Firmino,Liverpool,0.06,,Off Target,20.0,Left Foot,,Away
2018-10-27,10,Sadio Mané,Liverpool,0.08,,Blocked,14.0,Left Foot,,Home
2018-10-27,10,Georginio Wijnaldum,Liverpool,0.46,,Blocked,9.0,Right Foot,,Home
2018-10-27,10,Mohamed Salah,Liverpool,0.46,0.74,Goal,5.0,Left Foot,Deflected,Home
2018-10-27,13,Virgil van Dijk,Liverpool,0.1,,Woodwork,7.0,Head,,Home
2018-10-27,15,Trent Alexander-Arnold,Liverpool,0.01,,Blocked,51.0,Right Foot,,Home
2018-10-27,18,Mohamed Salah,Liverpool,0.06,,Blocked,21.0,Left Foot,,Home
2018-10-27,25,Trent Alexander-Arnold,Liverpool,0.04,,Off Target,22.0,Left Foot,,Home
2018-10-27,30,Alberto Moreno,Liverpool,0.03,,Off Target,29.0,Left Foot,,Home
2018-10-27,35,Adam Lallana,Liverpool,0.03,,Blocked,32.0,Left Foot,,Home
2018-10-27,41,Virgil van Dijk,Liverpool,0.09,,Off Target,9.0,Right Foot,Volley,Home
2018-10-27,42,Roberto Firmino,Liverpool,0.03,,Off Target,26.0,Right Foot,,Home
2018-10-27,45,Adam Lallana,Liverpool,0.06,,Blocked,9.0,Head,,Home
2018-10-27,66,Sadio Mané,Liverpool,0.08,0.53,Goal,13.0,Left Foot,,Home
2018-10-27,79,James Milner,Liverpool,0.04,,Blocked,20.0,Right Foot,,Home
2018-10-27,79,Trent Alexander-Arnold,Liverpool,0.03,0.04,Saved,28.0,Right Foot,Deflected,Home
2018-10-27,82,Mohamed Salah,Liverpool,0.06,0.7,Saved,28.0,Right Foot,,Home
2018-10-27,84,Xherdan Shaqiri,Liverpool,0.53,0.95,Goal,11.0,Left Foot,,Home
2018-10-27,87,Sadio Mané,Liverpool,0.54,0.71,Goal,15.0,Right Foot,,Home
2018-10-27,90,Mohamed Salah,Liverpool,0.01,,Off Target,62.0,Left Foot,,Home
2018-11-03,9,Georginio Wijnaldum,Liverpool,0.06,,Off Target,17.0,Right Foot,,Away
2018-11-03,13,Roberto Firmino,Liverpool,0.03,,Blocked,30.0,Left Foot,,Away
2018-11-03,18,Roberto Firmino,Liverpool,0.33,,Woodwork,13.0,Right Foot,,Away
2018-11-03,23,Virgil van Dijk,Liverpool,0.48,0.36,Saved,9.0,Right Foot,Volley,Away
2018-11-03,24,Mohamed Salah,Liverpool,0.03,,Blocked,22.0,Left Foot,,Away
2018-11-03,24,Andrew Robertson,Liverpool,0.04,0.06,Saved,17.0,Left Foot,,Away
2018-11-03,45,Virgil van Dijk,Liverpool,0.05,,Woodwork,15.0,Head,,Away
2018-11-03,50,Mohamed Salah,Liverpool,0.05,,Blocked,18.0,Left Foot,,Away
2018-11-03,61,James Milner,Liverpool,0.06,0.16,Goal,17.0,Right Foot,,Away
2018-11-03,69,Roberto Firmino,Liverpool,0.05,,Off Target,11.0,Head,,Away
2018-11-03,74,Virgil van Dijk,Liverpool,0.05,0.05,Saved,11.0,Head,,Away
2018-11-03,83,Sadio Mané,Liverpool,0.06,,Blocked,22.0,Right Foot,,Away
2018-11-03,84,Mohamed Salah,Liverpool,0.02,,Off Target,24.0,Left Foot,,Away
2018-11-11,4,Sadio Mané,Liverpool,0.05,,Off Target,15.0,Right Foot,,Home
2018-11-11,13,Xherdan Shaqiri,Liverpool,0.02,,Off Target,28.0,Left Foot,,Home
2018-11-11,16,Mohamed Salah,Liverpool,0.53,0.5,Saved,9.0,Right Foot,,Home
2018-11-11,20,Trent Alexander-Arnold,Liverpool,0.05,,Off Target,13.0,Head,,Home
2018-11-11,22,Mohamed Salah,Liverpool,0.06,0.08,Saved,11.0,Right Foot,,Home
2018-11-11,25,Fabinho,Liverpool,0.03,,Blocked,32.0,Right Foot,,Home
2018-11-11,28,Sadio Mané,Liverpool,0.04,,Off Target,20.0,Right Foot,,Home
2018-11-11,30,Mohamed Salah,Liverpool,0.03,,Blocked,29.0,Left Foot,,Home
2018-11-11,32,Xherdan Shaqiri,Liverpool,0.06,,Blocked,29.0,Left Foot,Free kick,Home
2018-11-11,32,Trent Alexander-Arnold,Liverpool,0.02,,Blocked,31.0,Right Foot,Volley,Home
2018-11-11,35,Xherdan Shaqiri,Liverpool,0.05,,Off Target,20.0,Left Foot,,Home
2018-11-11,41,Mohamed Salah,Liverpool,0.21,0.49,Goal,14.0,Left Foot,,Home
2018-11-11,53,Sadio Mané,Liverpool,0.03,0.11,Saved,28.0,Right Foot,,Home
2018-11-11,53,Sadio Mané,Liverpool,0.08,,Off Target,8.0,Head,,Home
2018-11-11,53,Xherdan Shaqiri,Liverpool,0.16,0.49,Goal,7.0,Left Foot,Volley,Home
2018-11-11,59,Virgil van Dijk,Liverpool,0.06,,Blocked,30.0,Right Foot,Free kick,Home
2018-11-11,62,Andrew Robertson,Liverpool,0.05,0.18,Saved,16.0,Left Foot,,Home
2018-11-11,68,Trent Alexander-Arnold,Liverpool,0.14,,Blocked,21.0,Right Foot,Free kick,Home
2018-11-11,81,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,27.0,Right Foot,,Home
2018-11-11,90,Roberto Firmino,Liverpool,0.02,0.02,Saved,19.0,Right Foot,,Home
2018-11-11,90,Mohamed Salah,Liverpool,0.05,,Blocked,14.0,Left Foot,,Home
2018-11-24,39,Roberto Firmino,Liverpool,0.03,0.22,Saved,19.0,Right Foot,,Away
2018-11-24,41,Sadio Mané,Liverpool,0.08,0.05,Saved,12.0,Right Foot,Volley,Away
2018-11-24,42,Mohamed Salah,Liverpool,0.05,0.22,Saved,10.0,Head,,Away
2018-11-24,53,Roberto Firmino,Liverpool,0.06,,Off Target,15.0,Right Foot,Volley,Away
2018-11-24,60,Xherdan Shaqiri,Liverpool,0.03,,Off Target,27.0,Left Foot,,Away
2018-11-24,67,Mohamed Salah,Liverpool,0.12,0.07,Goal,10.0,Left Foot,Volley,Away
2018-11-24,76,Trent Alexander-Arnold,Liverpool,0.06,0.42,Goal,32.0,Right Foot,Free kick,Away
2018-11-24,79,Jordan Henderson,Liverpool,0.02,,Off Target,24.0,Right Foot,,Away
2018-11-24,89,Sadio Mané,Liverpool,0.41,0.47,Saved,14.0,Right Foot,,Away
2018-11-24,89,Roberto Firmino,Liverpool,0.56,0.92,Goal,5.0,Head,,Away
2018-12-02,12,Sadio Mané,Liverpool,0.38,,Off Target,13.0,Left Foot,Volley,Home
2018-12-02,13,Sadio Mané,Liverpool,0.05,,Blocked,14.0,Left Foot,,Home
2018-12-02,19,Roberto Firmino,Liverpool,0.07,,Off Target,16.0,Left Foot,,Home
2018-12-02,29,Roberto Firmino,Liverpool,0.03,0.05,Saved,28.0,Right Foot,,Home
2018-12-02,34,Xherdan Shaqiri,Liverpool,0.47,0.55,Saved,10.0,Right Foot,,Home
2018-12-02,48,Mohamed Salah,Liverpool,0.03,,Off Target,27.0,Left Foot,,Home
2018-12-02,53,Sadio Mané,Liverpool,0.29,,Off Target,13.0,Left Foot,,Home
2018-12-02,57,Xherdan Shaqiri,Liverpool,0.04,,Blocked,24.0,Right Foot,,Home
2018-12-02,59,Sadio Mané,Liverpool,0.04,,Off Target,23.0,Right Foot,,Home
2018-12-02,81,Roberto Firmino,Liverpool,0.07,,Off Target,15.0,Left Foot,,Home
2018-12-02,87,Virgil van Dijk,Liverpool,0.08,,Off Target,9.0,Head,,Home
2018-12-02,87,Divock Origi,Liverpool,0.48,,Woodwork,3.0,Right Foot,Volley,Home
2018-12-02,87,Daniel Sturridge,Liverpool,0.03,,Blocked,20.0,Left Foot,Volley,Home
2018-12-02,90,Naby Keïta,Liverpool,0.04,,Off Target,22.0,Right Foot,,Home
2018-12-02,90,Virgil van Dijk,Liverpool,0.03,,Saved off Target,22.0,Right Foot,Volley,Home
2018-12-02,90,Divock Origi,Liverpool,0.88,0.99,Goal,2.0,Head,,Home
2018-12-05,29,Virgil van Dijk,Liverpool,0.05,0.07,Saved,12.0,Head,,Away
2018-12-05,35,Naby Keïta,Liverpool,0.06,,Blocked,15.0,Right Foot,,Away
2018-12-05,38,James Milner,Liverpool,0.08,,Blocked,15.0,Right Foot,,Away
2018-12-05,39,Naby Keïta,Liverpool,0.06,0.08,Saved,15.0,Right Foot,Deflected,Away
2018-12-05,47,Daniel Sturridge,Liverpool,0.03,0.19,Saved,26.0,Left Foot,,Away
2018-12-05,52,Virgil van Dijk,Liverpool,0.09,,Blocked,8.0,Head,,Away
2018-12-05,52,Naby Keïta,Liverpool,0.03,0.53,Saved,29.0,Left Foot,,Away
2018-12-05,52,Virgil van Dijk,Liverpool,0.07,,Off Target,10.0,Head,,Away
2018-12-05,58,Trent Alexander-Arnold,Liverpool,0.06,0.23,Saved,9.0,Right Foot,Volley,Away
2018-12-05,62,James Milner,Liverpool,0.06,0.52,Goal,25.0,Right Foot,,Away
2018-12-05,69,Roberto Firmino,Liverpool,0.84,0.96,Goal,2.0,Right Foot,,Away
2018-12-05,82,Naby Keïta,Liverpool,0.03,0.05,Saved,25.0,Left Foot,,Away
2018-12-05,82,Mohamed Salah,Liverpool,0.09,0.11,Saved,6.0,Right Foot,,Away
2018-12-05,82,Naby Keïta,Liverpool,0.12,,Blocked,10.0,Right Foot,,Away
2018-12-05,82,Jordan Henderson,Liverpool,0.03,,Off Target,23.0,Right Foot,,Away
2018-12-05,82,Naby Keïta,Liverpool,0.17,,Blocked,8.0,Right Foot,,Away
2018-12-05,86,Mohamed Salah,Liverpool,0.09,0.11,Saved,14.0,Right Foot,,Away
2018-12-05,90,Xherdan Shaqiri,Liverpool,0.48,0.96,Goal,15.0,Left Foot,,Away
2018-12-08,13,Xherdan Shaqiri,Liverpool,0.09,,Blocked,26.0,Left Foot,Free kick,Away
2018-12-08,14,Mohamed Salah,Liverpool,0.09,,Off Target,8.0,Right Foot,,Away
2018-12-08,19,Fabinho,Liverpool,0.03,,Off Target,29.0,Right Foot,,Away
2018-12-08,20,Naby Keïta,Liverpool,0.05,,Blocked,16.0,Left Foot,Volley,Away
2018-12-08,25,Roberto Firmino,Liverpool,0.03,0.04,Saved,31.0,Left Foot,Volley,Away
2018-12-08,25,Mohamed Salah,Liverpool,0.37,0.44,Goal,11.0,Left Foot,,Away
2018-12-08,48,Mohamed Salah,Liverpool,0.13,0.73,Goal,15.0,Left Foot,Deflected,Away
2018-12-08,77,Mohamed Salah,Liverpool,0.72,0.97,Goal,6.0,Left Foot,,Away
2018-12-08,85,James Milner,Liverpool,0.03,,Off Target,27.0,Right Foot,,Away
2018-12-08,86,Georginio Wijnaldum,Liverpool,0.05,,Off Target,11.0,Head,,Away
2018-12-16,2,Roberto Firmino,Liverpool,0.04,,Blocked,17.0,Right Foot,,Home
2018-12-16,6,Roberto Firmino,Liverpool,0.1,,Off Target,8.0,Head,,Home
2018-12-16,7,Roberto Firmino,Liverpool,0.03,0.21,Saved,28.0,Left Foot,,Home
2018-12-16,9,Fabinho,Liverpool,0.03,0.29,Saved,25.0,Right Foot,,Home
2018-12-16,10,Roberto Firmino,Liverpool,0.17,,Blocked,8.0,Left Foot,"Deflected, Volley",Home
2018-12-16,10,Andrew Robertson,Liverpool,0.02,,Off Target,20.0,Left Foot,,Home
2018-12-16,10,Virgil van Dijk,Liverpool,0.06,,Blocked,13.0,Right Foot,,Home
2018-12-16,11,Mohamed Salah,Liverpool,0.03,,Blocked,23.0,Left Foot,,Home
2018-12-16,12,Fabinho,Liverpool,0.03,,Off Target,30.0,Right Foot,,Home
2018-12-16,14,Roberto Firmino,Liverpool,0.03,,Off Target,28.0,Left Foot,,Home
2018-12-16,24,Sadio Mané,Liverpool,0.5,0.82,Goal,9.0,Left Foot,Volley,Home
2018-12-16,27,Dejan Lovren,Liverpool,0.35,,Off Target,7.0,Right Foot,,Home
2018-12-16,27,Roberto Firmino,Liverpool,0.05,,Blocked,14.0,Left Foot,,Home
2018-12-16,37,Sadio Mané,Liverpool,0.04,0.14,Saved,22.0,Left Foot,,Home
2018-12-16,45,Fabinho,Liverpool,0.03,,Blocked,30.0,Right Foot,,Home
2018-12-16,48,Mohamed Salah,Liverpool,0.05,,Blocked,21.0,Left Foot,,Home
2018-12-16,51,Fabinho,Liverpool,0.09,,Blocked,8.0,Head,,Home
2018-12-16,52,Roberto Firmino,Liverpool,0.1,0.19,Saved,14.0,Right Foot,,Home
2018-12-16,52,Naby Keïta,Liverpool,0.09,,Blocked,6.0,Right Foot,,Home
2018-12-16,56,Nathaniel Clyne,Liverpool,0.02,,Blocked,34.0,Right Foot,,Home
2018-12-16,57,Nathaniel Clyne,Liverpool,0.01,,Off Target,31.0,Right Foot,,Home
2018-12-16,59,Dejan Lovren,Liverpool,0.02,,Off Target,30.0,Right Foot,,Home
2018-12-16,61,Virgil van Dijk,Liverpool,0.02,,Blocked,29.0,Right Foot,,Home
2018-12-16,61,Roberto Firmino,Liverpool,0.06,,Blocked,14.0,Right Foot,,Home
2018-12-16,62,Dejan Lovren,Liverpool,0.13,,Blocked,4.0,Head,,Home
2018-12-16,63,Virgil van Dijk,Liverpool,0.07,,Blocked,16.0,Left Foot,,Home
2018-12-16,69,Sadio Mané,Liverpool,0.03,,Blocked,22.0,Left Foot,,Home
2018-12-16,69,Georginio Wijnaldum,Liverpool,0.03,0.04,Saved,24.0,Right Foot,,Home
2018-12-16,71,Fabinho,Liverpool,0.02,0.04,Saved,33.0,Right Foot,,Home
2018-12-16,73,Xherdan Shaqiri,Liverpool,0.06,0.4,Goal,14.0,Right Foot,Deflected,Home
2018-12-16,75,Georginio Wijnaldum,Liverpool,0.05,,Off Target,24.0,Left Foot,,Home
2018-12-16,80,Xherdan Shaqiri,Liverpool,0.04,0.16,Goal,22.0,Left Foot,Deflected,Home
2018-12-16,83,Georginio Wijnaldum,Liverpool,0.04,0.02,Saved,22.0,Right Foot,,Home
2018-12-16,90,Jordan Henderson,Liverpool,0.06,,Off Target,17.0,Left Foot,,Home
2018-12-16,90,Roberto Firmino,Liverpool,0.04,,Off Target,17.0,Right Foot,,Home
2018-12-16,90,Mohamed Salah,Liverpool,0.04,,Off Target,24.0,Left Foot,,Home
2018-12-21,3,Roberto Firmino,Liverpool,0.07,,Blocked,20.0,Left Foot,,Away
2018-12-21,12,Roberto Firmino,Liverpool,0.03,,Blocked,24.0,Right Foot,,Away
2018-12-21,13,Virgil van Dijk,Liverpool,0.04,,Blocked,15.0,Right Foot,,Away
2018-12-21,18,Mohamed Salah,Liverpool,0.19,0.23,Goal,8.0,Left Foot,,Away
2018-12-21,26,James Milner,Liverpool,0.03,0.07,Saved,23.0,Left Foot,,Away
2018-12-21,48,Mohamed Salah,Liverpool,0.04,,Off Target,18.0,Left Foot,Volley,Away
2018-12-21,52,Naby Keïta,Liverpool,0.03,,Blocked,26.0,Right Foot,,Away
2018-12-21,53,Naby Keïta,Liverpool,0.03,,Blocked,25.0,Right Foot,,Away
2018-12-21,55,James Milner,Liverpool,0.05,,Off Target,24.0,Left Foot,,Away
2018-12-21,67,Adam Lallana,Liverpool,0.09,0.11,Saved,11.0,Left Foot,Deflected,Away
2018-12-21,68,Virgil van Dijk,Liverpool,0.18,0.51,Goal,8.0,Left Foot,Volley,Away
2018-12-21,84,Mohamed Salah,Liverpool,0.34,0.42,Saved,7.0,Left Foot,,Away
2018-12-21,85,Sadio Mané,Liverpool,0.07,,Off Target,10.0,Head,,Away
